Goblet_0_n,Goblet_0_l,Goblet_0_p,Club_1_n,Club_1_l,Club_1_p,SupraB_2_n,SupraB_2_l,SupraB_2_p,Basal_3_n,Basal_3_l,Basal_3_p,SupraB_4_n,SupraB_4_l,SupraB_4_p,SupraB_5_n,SupraB_5_l,SupraB_5_p,Goblet_6_n,Goblet_6_l,Goblet_6_p,Goblet_7_n,Goblet_7_l,Goblet_7_p,Basal_8_n,Basal_8_l,Basal_8_p,Club_9_n,Club_9_l,Club_9_p,MultiC_10_n,MultiC_10_l,MultiC_10_p,Mixed_11_n,Mixed_11_l,Mixed_11_p,Mixed_12_n,Mixed_12_l,Mixed_12_p,Mixed_13_n,Mixed_13_l,Mixed_13_p,SupraB_14_n,SupraB_14_l,SupraB_14_p,SupraB_15_n,SupraB_15_l,SupraB_15_p,Mixed_16_n,Mixed_16_l,Mixed_16_p,Mixed_17_n,Mixed_17_l,Mixed_17_p,Club_18_n,Club_18_l,Club_18_p
BPIFB1,6.2090907,0.0,GSN,2.051724,0.0,SERPINB13,4.887789,0.0,DST,4.5110283,0.0,TINAGL1,3.7694979,0.0,TUBA1B,3.4741957,0.0,RAB11FIP1,4.5399194,0.0,FTH1,1.2952956,0.0,IFI6,4.5773335,0.0,SERPINB4,4.301948,0.0,TPPP3,10.762239,0.0,XAF1,4.8539314,0.0,NC_026436.1,9.201849,0.0,KRT17,4.1447725,0.0,HMGB1,1.7038465,0.0,MALAT1,1.8890873,0.0,BPIFB1,2.9471655,1.6943638326458716e-82,NC_026435.1,14.658823,0.0,KIT,12.369792,9.550112404898186e-287
SLPI,3.6834776,0.0,B4GALT5,3.1002855,0.0,CLCA4,5.486782,0.0,IGFBP6,5.160563,0.0,LGALS1,6.1892605,0.0,HMGB1,1.6869645,0.0,C3,4.1530747,0.0,PSAT1,5.5803065,0.0,IFIT1,6.5903697,0.0,MT1X,1.5173398,0.0,CAPS,8.864465,0.0,MX1,5.6716833,0.0,NC_026432.1,9.620184,0.0,LAMC2,5.279493,0.0,H2AFZ,2.568702,0.0,COL17A1,4.500437,0.0,SCGB3A1,2.5133314,8.760635565399513e-81,NC_026438.1,14.260687,0.0,ANXA4,2.5491965,6.3478889439887e-235
PIGR,6.2459297,0.0,RDH10,3.909217,0.0,CSTA,3.171657,0.0,WNT10A,5.221837,0.0,LDHA,1.8207762,0.0,STMN1,6.462913,0.0,MACC1,4.831598,0.0,PDZK1IP1,4.9371905,0.0,STAT1,3.3697827,0.0,DHRS9,2.6021,0.0,PIFO,11.049371,0.0,MX2,6.628481,0.0,NC_026431.1,8.781671,0.0,PMEPA1,5.389387,0.0,TUBA1B,3.1954281,0.0,DST,4.0168195,0.0,RPS29,0.4489241,1.0282867654410744e-67,NC_026437.1,14.258546,0.0,NREP,7.2065644,3.0943560790862635e-192
XBP1,4.0558496,0.0,WFDC2,3.0532074,0.0,S100A16,1.8045129,0.0,KRT15,3.3034446,0.0,CAV1,4.9768176,0.0,H2AFZ,2.4525998,0.0,SCNN1A,2.5678358,0.0,ASNS,5.5516667,0.0,ISG15,6.1598425,0.0,SAT1,1.4565392,0.0,C1orf194,11.143545,0.0,OAS2,5.0788255,0.0,NC_026433.1,9.168973,0.0,SERPINE2,7.0861197,0.0,HMGN2,2.480993,0.0,LAMC2,3.6515892,0.0,RPL23,0.4447696,1.284168544883095e-59,NC_026436.1,12.279381,0.0,HEPACAM2,11.441951,2.501645756040745e-188
SCGB3A1,5.522656,0.0,EPAS1,2.1894863,0.0,SERPINB1,2.4351285,0.0,ITGB1,1.7740326,0.0,S100A10,2.7338758,0.0,HMGN2,2.4876394,0.0,MUC4,4.22037,0.0,CXCL8,5.0944233,0.0,IFIT3,5.402565,0.0,TCN1,3.5136492,0.0,RSPH1,10.603439,0.0,IFI44L,6.114484,0.0,NC_026437.1,10.049339,0.0,LAMB3,4.0264673,0.0,HNRNPA2B1,1.1938887,0.0,ITGB1,1.4838395,6.176150220840934e-299,TPT1,0.38201097,1.3477275870338313e-59,NC_026431.1,12.05904,0.0,AZGP1,9.30751,2.8612263558467657e-182
LCN2,4.077773,0.0,GLUL,1.286883,0.0,AQP3,2.5369983,0.0,CTSH,1.5587676,0.0,IGFBP7,4.0620136,0.0,DEK,2.9585564,0.0,CEACAM6,5.3677416,0.0,SOD2,3.3609333,0.0,MX1,5.1574774,0.0,IGFBP3,1.7909856,0.0,ZMYND10,10.932927,0.0,OAS1,5.129142,0.0,NC_026435.1,9.621912,0.0,SERPINE1,7.221392,0.0,STMN1,5.763445,0.0,CD44,2.9536266,3.3022574546964375e-297,LGALS1,2.834959,4.186353437656074e-58,NC_026433.1,12.027053,0.0,SLC6A9,5.3531384,3.153383865080819e-175
WFDC2,3.80326,0.0,DHRS9,2.7332919,0.0,S100A14,2.2671137,0.0,SH3BGRL3,1.7214407,0.0,CAVIN1,5.1934013,0.0,FGFBP1,5.230542,0.0,STEAP4,5.1321774,0.0,SLC3A2,2.8606143,0.0,OAS3,5.027607,0.0,CTSB,0.8291281,0.0,PSENEN,4.630756,0.0,IFIT3,5.4345474,0.0,NC_026434.1,9.9171915,0.0,TPM1,4.1894093,0.0,SMC4,5.0390677,0.0,APP,0.99710983,4.638423697041947e-281,RPS15A,0.5033723,1.8840837975371914e-56,NC_026434.1,13.10499,0.0,CRYM,7.6054006,6.226515200964553e-170
CXCL17,3.3901422,0.0,CLINT1,1.7886306,0.0,RPS8,0.782792,0.0,COL17A1,4.9205847,0.0,PDLIM1,1.8965046,0.0,PTMA,0.99786234,0.0,GPRC5A,2.445273,0.0,CLIC4,3.3911145,0.0,DDX58,5.112283,0.0,MMP7,3.890967,0.0,AC007906.2,9.735184,0.0,TNFSF10,2.506868,0.0,NC_026438.1,9.907963,0.0,ACTN1,3.5210228,0.0,PTMA,0.9092199,0.0,APLP2,0.70006984,5.416598629748899e-280,RPL31,0.41941175,6.263510645737775e-56,NC_026432.1,11.677389,0.0,FAM43A,6.168806,4.2508671527383076e-157
CP,4.747827,0.0,SERPINB3,3.2433093,0.0,RPS6,0.73331773,0.0,GJA1,4.5907173,0.0,PTHLH,5.3866544,0.0,TUBB,2.0633337,0.0,ALDH1A3,1.7891042,0.0,SOX4,2.2509227,0.0,PDLIM1,1.8898474,0.0,CTSC,1.9158365,0.0,ENKUR,10.709958,0.0,IFIT1,6.214074,0.0,B2M,1.3386629,0.0,LAMA3,5.080682,0.0,SERPINB13,4.4056087,0.0,CDH3,1.5683516,7.904439146934425e-277,CAV1,2.7399797,4.270176113314172e-55,CNBD1,10.513862,0.0,MUC20,4.460659,2.330775091758234e-153
AGR2,3.6538908,0.0,ELF3,2.6181839,0.0,SERPINB5,3.4562948,0.0,BCAM,3.9999008,0.0,CCND2,4.049404,0.0,MT2A,2.8300602,0.0,MUC1,3.5674825,0.0,C15orf48,5.041715,0.0,IFITM3,1.7036176,0.0,CRABP2,1.668672,0.0,C9orf116,9.105282,0.0,IFI6,4.2458024,0.0,GPR158,8.205125,0.0,SFN,3.3654928,0.0,PTTG1,5.133037,0.0,LAMA3,3.9179814,1.0527471036985022e-276,RPL37A,0.4190569,1.9642980200067908e-54,GPR158,11.272512,0.0,H3F3A,0.7631956,3.9066324475431188e-149
