SupraB_0_n,SupraB_0_l,SupraB_0_p,Club_1_n,Club_1_l,Club_1_p,Basal_2_n,Basal_2_l,Basal_2_p,Goblet_3_n,Goblet_3_l,Goblet_3_p,Goblet_4_n,Goblet_4_l,Goblet_4_p,SupraB_5_n,SupraB_5_l,SupraB_5_p,SupraB_6_n,SupraB_6_l,SupraB_6_p,SupraB_7_n,SupraB_7_l,SupraB_7_p,Goblet_8_n,Goblet_8_l,Goblet_8_p,Club_9_n,Club_9_l,Club_9_p,Club_10_n,Club_10_l,Club_10_p,Goblet_11_n,Goblet_11_l,Goblet_11_p,Goblet_12_n,Goblet_12_l,Goblet_12_p,Goblet_13_n,Goblet_13_l,Goblet_13_p,SupraB_14_n,SupraB_14_l,SupraB_14_p,SupraB_15_n,SupraB_15_l,SupraB_15_p,Basal_16_n,Basal_16_l,Basal_16_p,MultiC_17_n,MultiC_17_l,MultiC_17_p,MultiC_18_n,MultiC_18_l,MultiC_18_p,MultiC_19_n,MultiC_19_l,MultiC_19_p,Club_20_n,Club_20_l,Club_20_p,Goblet_21_n,Goblet_21_l,Goblet_21_p,Basal_22_n,Basal_22_l,Basal_22_p,Club_23_n,Club_23_l,Club_23_p
IGFBP7,4.5067635,0.0,B4GALT5,3.314394,0.0,KRT5,4.1270537,0.0,CEACAM6,5.5447226,0.0,BPIFB1,6.129537,0.0,SERPINB13,4.6683693,0.0,TUBA1B,3.8556852,0.0,CSTA,3.9426193,0.0,PSAT1,6.3184514,0.0,SERPINB4,4.672592,0.0,WFDC2,3.7688394,0.0,MALAT1,3.4366903,0.0,NC_026432.1,9.366121,0.0,MT-CYB,2.5566766,0.0,HMGB1,2.078868,0.0,COL17A1,6.0518384,0.0,LAMC2,5.935877,0.0,PIFO,11.103158,0.0,TPPP3,9.045377,0.0,LRRIQ1,9.269339,0.0,LGALS1,3.4441519,1.1191580875657907e-158,NC_026435.1,14.205187,0.0,IFIT1,7.453658,0.0,KIT,12.304207,0.0
LGALS1,6.447335,0.0,SELENOP,3.0768747,0.0,IGFBP6,5.949136,0.0,C3,4.149939,0.0,SLPI,3.659269,0.0,S100A16,2.3758163,0.0,STMN1,6.533775,0.0,SERPINB1,2.9999304,0.0,FTH1,1.7381124,0.0,MT1X,1.9305464,0.0,SLPI,3.412188,0.0,MTRNR2L8,3.4542663,0.0,NC_026436.1,8.950444,0.0,MT-CO3,2.4384036,0.0,TUBA1B,3.5078812,0.0,DST,5.0900183,0.0,KRT17,4.3765874,0.0,RSPH1,10.768906,0.0,CAPS,7.380171,0.0,ZMYND10,9.448797,0.0,CAV1,3.3154864,2.0510358258930313e-156,NC_026436.1,11.870679,0.0,ISG15,7.1762066,0.0,ANXA4,2.8634608,3.551834361819488e-282
TINAGL1,3.8749614,0.0,WFDC2,3.069483,0.0,CCDC3,6.0029902,0.0,RAB11FIP1,4.378242,0.0,PIGR,6.1634393,0.0,CLCA4,5.054049,0.0,HMGB1,2.1089861,0.0,SERPINB13,4.5938835,0.0,ASNS,6.126588,0.0,SAT1,1.7638072,0.0,BPIFB1,5.618024,0.0,MTRNR2L12,3.246187,0.0,NC_026437.1,9.970757,0.0,MT-CO2,2.5851264,0.0,HMGN2,2.8384967,0.0,MT-ATP8,2.1871605,0.0,SERPINE2,7.6600294,0.0,CAPS,9.400225,0.0,C1orf194,9.118463,0.0,TPPP3,8.446104,0.0,TINAGL1,2.2019384,2.3436429563545145e-148,NC_026431.1,11.709342,0.0,IFIT3,6.450463,0.0,HEPACAM2,11.918669,1.0593207033114567e-264
CTSH,2.2182136,0.0,GSN,2.194184,0.0,WNT10A,5.785696,0.0,MACC1,4.706617,0.0,XBP1,4.1545887,0.0,SERPINB5,3.8659384,0.0,FGFBP1,5.414277,0.0,CLCA4,5.003269,0.0,PDZK1IP1,5.2903223,0.0,CTSC,2.5018866,0.0,XBP1,4.0221667,0.0,MT-ND5,3.195501,0.0,NC_026438.1,9.835336,0.0,MT-ND4,2.5252862,0.0,H2AFZ,2.9184039,0.0,MT-ATP6,1.9420654,0.0,PMEPA1,5.8601656,0.0,C1orf194,11.169194,0.0,AC007906.2,7.9962897,0.0,EFHC1,7.3956637,0.0,S100A2,1.9930137,1.3555038854588409e-145,NC_026437.1,13.805909,0.0,IFI6,5.0725923,0.0,SLC6A9,5.3091974,8.643092813253152e-211
NPC2,2.0992095,0.0,EPAS1,2.5597572,0.0,DST,4.825342,0.0,GPRC5A,2.7735164,0.0,CD74,3.6592796,0.0,S100A2,2.8118994,0.0,HMGN2,2.882373,0.0,TCN1,4.5058775,0.0,SOD2,3.9450958,0.0,DHRS9,2.7942052,0.0,CXCL17,3.455811,0.0,MT-ND4L,3.493491,0.0,NC_026435.1,9.522307,0.0,MT-ATP6,2.4771886,0.0,HNRNPA2B1,1.4790446,0.0,MT-CO3,1.8687657,0.0,SERPINE1,7.982307,0.0,ENKUR,10.788666,0.0,PIFO,8.662943,0.0,ARMC3,8.673658,0.0,IGFBP7,2.8251615,1.395683180048692e-144,NC_026433.1,11.730849,0.0,STAT1,3.9901185,0.0,FOXI1,12.624266,3.1892162711977716e-201
GAPDH,1.6029664,0.0,DHRS9,3.0153897,0.0,FGFBP1,4.9971547,0.0,RARRES1,5.3489943,0.0,LCN2,4.0494266,0.0,S100A14,2.5926774,0.0,H2AFZ,2.864005,0.0,KRT4,5.589512,0.0,SLC3A2,3.3757954,0.0,CRABP2,2.1887176,0.0,AGR2,3.8515003,0.0,MT-ND2,3.3894804,0.0,NC_026431.1,8.589385,0.0,MT-CO1,2.2855105,0.0,STMN1,5.72541,0.0,MT-CO1,1.8888912,0.0,LAMB3,4.5448914,0.0,C9orf24,10.988733,0.0,SNTN,8.880141,0.0,AC007906.2,7.911944,0.0,IGFBP6,3.1259656,3.515425847464648e-142,NC_026438.1,13.843286,0.0,IFIT2,7.814236,0.0,KRT8,2.3136203,2.85070034906616e-197
LDHA,2.291487,0.0,SERPINB3,3.4615178,0.0,SH3BGRL3,2.3824277,0.0,SCNN1A,2.6945426,0.0,SCGB3A1,5.2709246,0.0,MT1X,1.9450532,0.0,DEK,3.2951849,0.0,PABPC1,1.1165102,0.0,EIF1,1.3150035,0.0,CTSB,1.1882422,0.0,CP,4.559319,0.0,MT-ND4,3.261372,0.0,NC_026433.1,8.906636,0.0,MT-ND4L,2.7992563,0.0,SMC4,5.1360116,0.0,MT-ND4L,2.2945828,0.0,TPM1,4.9280944,0.0,TPPP3,10.961333,0.0,RSPH1,8.258886,0.0,DNAAF1,8.608884,0.0,S100A10,2.01765,2.6992894271238725e-134,NC_026432.1,11.378323,0.0,DDX58,6.0859632,0.0,NREP,6.509746,1.0717019291821687e-195
MMP2,5.8429813,0.0,TXNIP,2.1331034,0.0,ITGB1,2.191615,0.0,ALDH1A3,1.9483434,0.0,BPIFA1,5.6889896,0.0,KRT6A,3.8694897,0.0,TUBB,2.5325165,0.0,RPS6,1.10863,0.0,CXCL8,5.123161,0.0,TCN1,3.7435565,0.0,PIGR,5.556343,0.0,MT-CO1,2.9719844,0.0,NC_026434.1,9.821938,0.0,MT-ND2,2.455262,0.0,SERPINB13,4.5196548,0.0,MT-ND5,2.0265915,0.0,ACTN1,4.1302304,0.0,PSENEN,5.3808355,0.0,C9orf24,8.493515,0.0,FOXJ1,8.814686,0.0,PTHLH,2.975129,8.717961451134937e-134,NC_026434.1,12.843442,0.0,MX1,5.716756,0.0,FAM43A,6.1401896,3.0960204514681508e-192
IGFBP2,4.188048,0.0,RDH10,3.8308284,0.0,CAV1,5.0468087,0.0,TGFB2,3.913301,0.0,CP,4.7322316,0.0,S100A11,0.929056,0.0,MT2A,2.9911823,0.0,RPS24,1.1235352,0.0,GARS,3.4177568,0.0,MMP7,4.13528,0.0,CD74,3.301587,0.0,MT-ATP8,3.2369118,0.0,B2M,1.688568,0.0,MT-ND1,2.2426643,0.0,TOP2A,7.6262846,0.0,MT-ND1,1.7535294,0.0,LAMA3,5.671337,0.0,DNALI1,9.33245,0.0,C20orf85,8.330699,0.0,DNAH12,8.434036,0.0,KRT5,2.492142,3.636633542587944e-131,MTRNR2L12,3.135961,0.0,IFIH1,5.2593503,0.0,ATP6V1A,3.0411925,2.1092546592346925e-187
PDLIM1,2.424108,0.0,CYP4X1,3.2627118,0.0,PDLIM1,2.3601384,0.0,STEAP4,4.745977,0.0,HLA-DRA,5.462999,0.0,AQP3,2.4511201,0.0,PTMA,1.2390054,0.0,RPS8,1.0610931,0.0,PCK2,4.9966135,0.0,KRT23,2.708184,0.0,LCN2,3.7159686,0.0,MT-CYB,3.3265038,0.0,SLPI,2.7159061,0.0,MT-ATP8,2.4994555,0.0,PTTG1,5.1148205,0.0,MT-ND4,1.8968457,0.0,AMIGO2,6.7891707,0.0,ROPN1L,10.749904,0.0,ZMYND10,8.136756,0.0,CCDC170,8.260717,0.0,SH3BGRL3,1.4330951,1.686943145155297e-130,MTRNR2L8,2.6947503,0.0,RSAD2,7.5605054,0.0,ATP6V0B,2.1650376,2.6685289175074037e-186
