Goblet_0_n,Goblet_0_l,Goblet_0_p,Club_1_n,Club_1_l,Club_1_p,SupraB_2_n,SupraB_2_l,SupraB_2_p,Basal_3_n,Basal_3_l,Basal_3_p,SupraB_4_n,SupraB_4_l,SupraB_4_p,SupraB_5_n,SupraB_5_l,SupraB_5_p,Goblet_6_n,Goblet_6_l,Goblet_6_p,Goblet_7_n,Goblet_7_l,Goblet_7_p,Basal_8_n,Basal_8_l,Basal_8_p,Club_9_n,Club_9_l,Club_9_p,MultiC_10_n,MultiC_10_l,MultiC_10_p,Mixed_11_n,Mixed_11_l,Mixed_11_p,Mixed_12_n,Mixed_12_l,Mixed_12_p,Mixed_13_n,Mixed_13_l,Mixed_13_p,SupraB_14_n,SupraB_14_l,SupraB_14_p,SupraB_15_n,SupraB_15_l,SupraB_15_p,Mixed_16_n,Mixed_16_l,Mixed_16_p,Mixed_17_n,Mixed_17_l,Mixed_17_p,Club_18_n,Club_18_l,Club_18_p
BPIFB1,5.914306,0.0,GSN,1.8415903,0.0,SERPINB13,5.224394,0.0,CTSH,1.7517709,0.0,TINAGL1,3.8328526,0.0,TUBA1B,3.429056,0.0,RAB11FIP1,4.4108186,0.0,FTH1,1.2599658,0.0,IFI6,5.362927,1.4373452798824388e-66,MT1X,1.5113608,0.0,TPPP3,10.573721,0.0,MX1,7.1291995,4.0567495625759804e-112,NC_026431.1,7.1729536,7.384952635648531e-170,KRT17,4.3989525,0.0,TUBA1B,3.2930603,1.71723587856624e-272,COL17A1,4.7756386,7.967935434811383e-107,RPS29,0.55251443,1.0210931374730135e-28,RAB44,15.115617,0.08266295566908073,KIT,12.179761,8.36697509450961e-74
SLPI,3.5004747,0.0,EPAS1,2.0460992,0.0,CLCA4,5.6632023,0.0,SH3BGRL3,1.8923063,0.0,LGALS1,6.6163235,0.0,HMGB1,1.6382296,0.0,MACC1,4.705965,0.0,PSAT1,5.5683866,0.0,IFIT1,8.421845,2.381748449768864e-66,SERPINB4,4.00142,0.0,PIFO,10.799259,0.0,IFI6,5.2492566,8.326802393025577e-111,NC_026436.1,7.476213,2.1157949039356375e-169,LAMC2,5.479266,0.0,HMGB1,1.6366857,3.093171636094124e-259,LAMC2,3.756471,1.800814084028869e-103,RPL37,0.635846,1.9978569417243707e-26,CNBD1,12.245543,0.08266295566908073,ANXA4,2.3583755,3.954411612655457e-57
PIGR,6.034745,0.0,TNFSF10,1.8100692,0.0,CSTA,3.2937088,0.0,KRT15,3.418145,0.0,S100A10,2.9391296,0.0,STMN1,6.5025806,0.0,MUC4,4.1799297,0.0,ASNS,5.49502,0.0,XAF1,5.5303607,1.6623310645827267e-61,SAT1,1.3741748,0.0,RSPH1,10.340383,0.0,XAF1,6.013839,3.774891937427863e-108,NC_026432.1,8.108373,3.7092282961424893e-169,PMEPA1,5.410553,6.396081113369926e-295,HMGN2,2.4538522,9.904577483538949e-255,DST,4.017886,1.2731591627927054e-102,RPL27,0.62810534,1.161129962146903e-25,GABRB1,11.704616,0.08266295566908073,NREP,6.903538,5.467718572619791e-47
XBP1,4.014631,0.0,MT-CYB,0.6020662,0.0,S100A14,2.4245365,0.0,ITGB1,1.7468363,0.0,PDLIM1,2.13864,0.0,FGFBP1,5.635107,0.0,C3,3.8890405,0.0,CXCL8,4.711918,0.0,ISG15,7.4275174,3.868170402717216e-60,DHRS9,2.3749833,4.0047607227980257e-283,C1orf194,10.929286,0.0,IFI44L,8.002544,8.255281069983988e-108,NC_026433.1,7.4347124,2.4813504330219225e-167,SERPINE2,7.747686,6.699078201706652e-294,H2AFZ,2.4272563,3.373738786989705e-250,MYH9,1.8419114,2.1759168031677439e-100,RPL37A,0.54189044,1.2969896092248695e-24,NC_026438.1,14.592314,0.08266295566908073,AZGP1,9.155755,2.3047099648525217e-46
LCN2,3.818872,0.0,B4GALT5,2.8036876,0.0,S100A16,1.8408394,0.0,IGFBP6,5.3845105,0.0,LDHA,1.8065434,0.0,HMGN2,2.4320686,0.0,SCNN1A,2.5386436,0.0,SOD2,3.4085076,0.0,IFITM3,2.3283198,4.0985466290162186e-60,IGFBP3,1.7137583,5.1005828979552297e-278,ZMYND10,10.788149,0.0,IFIT3,6.693686,9.069810392886891e-108,NC_026434.1,8.276923,7.110867829933741e-163,SFN,3.960323,1.7110883007341147e-276,STMN1,5.79565,1.5532378206857855e-217,CD44,3.3682513,8.056329786806536e-99,IGFBP7,3.047812,2.7521207552736883e-24,GPR158,13.318529,0.08266295566908073,HEPACAM2,11.17311,1.7353898086187995e-43
WFDC2,3.683842,0.0,TXNIP,1.7248586,0.0,SERPINB5,3.7037373,0.0,DST,4.470891,0.0,CAV1,5.296192,0.0,H2AFZ,2.289331,0.0,CEACAM6,5.1271977,0.0,SLC3A2,2.9592814,0.0,IFIT3,6.3838463,3.915460064949908e-59,TCN1,3.2496045,2.051620571477755e-268,CAPS,8.449824,0.0,IFIT1,7.997159,7.461584246071633e-107,NC_026437.1,8.600565,4.434897954812957e-157,LAMB3,3.9493256,2.2896515330542774e-275,HNRNPA2B1,1.0602477,1.901577248838833e-211,LAMA3,4.2365756,1.559577571965492e-97,S100A2,2.1540468,5.0632144832386224e-24,NC_026435.1,14.879503,0.08266295566908073,CRYM,7.5016646,2.6507332571800215e-40
CP,4.501412,0.0,DHRS9,2.5185304,0.0,AQP3,2.324834,0.0,GJA1,5.048518,0.0,IGFBP7,4.6747413,0.0,DEK,2.7152138,0.0,GPRC5A,2.2324545,0.0,KRT7,1.6945488,0.0,MX1,6.0400844,7.030203975968355e-56,CRABP2,1.5403303,2.0511818674847784e-246,AC007906.2,9.381389,0.0,OAS2,6.5143275,1.5658982057827497e-106,NC_026435.1,8.2472315,4.0576561362054575e-154,AMIGO2,6.970028,1.2249916597438676e-268,SERPINB13,4.793668,4.445491803451203e-202,ITGA3,3.0451007,7.3875231400687e-93,TPT1,0.45419842,5.0632144832386224e-24,LINC01004,10.462554,0.08266295566908073,PTMA,0.77769876,7.499094848384272e-40
SCGB3A1,5.182016,0.0,WFDC2,2.701271,0.0,RPS8,0.8177181,0.0,WNT10A,5.2916565,0.0,CAVIN1,5.596886,0.0,MT2A,3.1817667,0.0,ALDH1A3,1.7040604,0.0,PDZK1IP1,4.175496,0.0,IFI44L,7.1445975,1.3926589857578898e-54,CEACAM1,2.8914115,6.433684076293423e-237,ENKUR,10.549844,0.0,ISG15,7.2964754,7.848903309751256e-104,NC_026438.1,8.245898,7.432282316437465e-146,TPM1,4.245907,1.8459784368065873e-267,KRT6A,4.40821,5.068592417214329e-202,MALAT1,1.7266707,2.330737118328669e-92,TINAGL1,1.9440095,6.378988211534812e-24,NC_026434.1,13.394648,0.08266295566908073,KCNN3,9.391541,6.547474839618881e-39
AGR2,3.809996,0.0,SERPINB3,2.9268963,0.0,RPS6,0.73319346,0.0,COL17A1,5.2443132,0.0,MT2A,3.0512478,0.0,CCDC3,5.931648,0.0,STEAP4,4.781592,0.0,CLIC4,3.3458018,0.0,DDX58,6.382137,1.4340541635776747e-54,MMP7,3.3701596,1.2833436850000966e-220,ROPN1L,10.759398,0.0,MX2,7.6032443,2.5372860501170854e-99,SCGB3A1,4.456773,5.506684288952869e-85,TAGLN2,2.1849222,5.132603649392045e-262,PTTG1,5.29893,1.925636303286928e-192,FLNA,3.921122,6.004670797881674e-88,RPL38,0.6418699,9.574044145506322e-24,NC_026431.1,12.389185,0.08266295566908073,MUC20,4.201193,2.995459075015009e-37
CXCL17,3.2575116,0.0,SAT1,1.2503282,0.0,GPX2,3.626933,0.0,IGFBP7,4.3209724,0.0,PTHLH,5.5759277,0.0,PTMA,0.91940975,0.0,GABRP,4.441788,0.0,EIF1,0.7645239,0.0,RPS18,1.5523815,1.2876256171840601e-53,CTSC,1.6620787,1.096237957128979e-217,DNALI1,8.459713,0.0,OAS1,6.3255544,9.070730495011834e-99,SLPI,2.6764407,3.5021248748702138e-84,CTSB,1.599642,1.578830161165762e-255,SMC4,4.9170747,8.694786228858219e-191,TINAGL1,2.4880764,1.105125076702886e-87,UBA52,0.62010586,1.0689776736725261e-23,RBM47,5.9122214,0.08266295566908073,SLC6A9,4.9323363,6.940156785818793e-36
