Goblet_0_n,Goblet_0_l,Goblet_0_p,Club_1_n,Club_1_l,Club_1_p,SupraB_2_n,SupraB_2_l,SupraB_2_p,Basal_3_n,Basal_3_l,Basal_3_p,SupraB_4_n,SupraB_4_l,SupraB_4_p,SupraB_5_n,SupraB_5_l,SupraB_5_p,Goblet_6_n,Goblet_6_l,Goblet_6_p,Goblet_7_n,Goblet_7_l,Goblet_7_p,Basal_8_n,Basal_8_l,Basal_8_p,Club_9_n,Club_9_l,Club_9_p,MultiC_10_n,MultiC_10_l,MultiC_10_p,Mixed_11_n,Mixed_11_l,Mixed_11_p,Mixed_12_n,Mixed_12_l,Mixed_12_p,Mixed_13_n,Mixed_13_l,Mixed_13_p,SupraB_14_n,SupraB_14_l,SupraB_14_p,SupraB_15_n,SupraB_15_l,SupraB_15_p,Mixed_16_n,Mixed_16_l,Mixed_16_p,Mixed_17_n,Mixed_17_l,Mixed_17_p,Club_18_n,Club_18_l,Club_18_p
BPIFB1,6.0247693,0.0,GSN,2.052857,0.0,SERPINB13,4.9908834,0.0,DST,4.2749944,0.0,TINAGL1,3.7228072,0.0,TUBA1B,3.5365062,0.0,C3,4.465126,0.0,FTH1,1.2217096,0.0,PDLIM1,1.8936602,0.0,MT1X,1.443754,1.422535178861303e-240,C1orf194,11.373484,0.0,TNFSF10,2.2689958,0.0,NC_026436.1,8.858288,0.0,KRT17,3.9968038,0.0,HMGB1,1.8607726,5.759310094015085e-267,COL17A1,4.6564684,2.0388466343038642e-103,BPIFB1,3.2423427,7.533025430041293e-25,NC_026438.1,13.352136,2.4248072837265244e-251,KIT,12.497039,1.6739211304671592e-80
SLPI,3.4696212,0.0,B4GALT5,3.1846018,0.0,CLCA4,5.419603,0.0,ITGB1,1.8146901,0.0,LGALS1,5.973946,0.0,HMGN2,2.6668444,0.0,RAB11FIP1,4.7105446,0.0,PSAT1,5.5018363,0.0,IGFBP6,5.1381526,0.0,MMP7,4.381734,8.70096095516078e-232,PIFO,11.234931,0.0,XAF1,2.7045267,0.0,NC_026432.1,9.263178,0.0,LAMC2,4.8572764,0.0,TUBA1B,3.2066128,4.4651899184518183e-246,ITGB1,1.858421,2.4029418090714364e-99,SCGB3A1,2.5274696,1.1631480707644355e-18,NC_026435.1,13.744529,2.4248072837265244e-251,SLC6A9,6.1159368,9.266652662925187e-60
PIGR,6.0212502,0.0,RDH10,4.107659,0.0,CSTA,3.265423,0.0,WNT10A,4.8120356,0.0,CAV1,4.8280516,0.0,HMGB1,1.7539304,0.0,SCNN1A,2.819063,0.0,ASNS,5.487051,0.0,CTSH,1.6434506,0.0,SERPINB4,3.9866345,1.1900382464892286e-224,CAPS,8.957082,0.0,MX2,4.67298,0.0,NC_026433.1,8.938318,0.0,PMEPA1,5.1724696,0.0,HMGN2,2.6175218,6.996182436948116e-243,LAMC2,3.8548677,1.1939427598015282e-98,MSMB,2.7360356,1.890040855013725e-16,NC_026437.1,13.249037,5.951469599673338e-249,ANXA4,2.528437,4.932113767742816e-55
SCGB3A1,5.523308,0.0,GLUL,1.4625907,0.0,S100A14,2.5267997,0.0,CTSH,1.5174623,0.0,LDHA,1.8238256,0.0,STMN1,6.58253,0.0,MUC4,4.544782,0.0,PDZK1IP1,4.6292176,4.9844425426810824e-303,IFIT1,3.8335648,0.0,TCN1,3.629033,7.061152067254681e-211,TPPP3,10.81649,0.0,MX1,3.3068376,0.0,NC_026431.1,8.511872,0.0,LAMB3,3.9452763,0.0,H2AFZ,2.6719613,3.0579532634283055e-242,DST,3.895049,7.780599504158089e-89,CYP2F1,3.0839677,8.76346457697452e-16,NC_026436.1,11.38568,2.0956058333776813e-246,HEPACAM2,11.629812,1.3303025286792712e-50
XBP1,3.899748,0.0,WFDC2,3.1965683,0.0,AQP3,2.6581028,0.0,IGFBP6,4.7660265,0.0,S100A10,2.5994856,0.0,H2AFZ,2.5801005,0.0,MACC1,4.960903,0.0,GDF15,3.707562,2.972838825018175e-295,IFI6,2.6012204,0.0,CTSB,0.87093383,2.330089636197251e-200,RSPH1,10.66563,0.0,C3,4.1706514,0.0,NC_026437.1,9.661086,0.0,SERPINE2,6.5238333,0.0,HNRNPA2B1,1.29846,1.407404976646179e-226,CD44,3.179249,8.825379022998291e-89,SLPI,1.2739666,8.850255950457338e-15,NC_026431.1,11.360971,4.5765568590907386e-246,NREP,7.3098145,1.7478931465187595e-49
WFDC2,3.8543508,0.0,CLINT1,1.9308659,0.0,SERPINB2,5.516486,0.0,SH3BGRL3,1.6340563,0.0,CAVIN1,5.069668,0.0,DEK,3.0695925,0.0,CEACAM6,5.455733,0.0,KRT7,1.9240332,2.9784252686480008e-291,TIMP1,3.021453,0.0,NOTCH3,3.249707,2.0778254116239316e-194,PSENEN,4.9236236,0.0,CP,4.274054,0.0,NC_026435.1,9.27271,0.0,SERPINE1,6.5948834,0.0,PTMA,1.0391607,4.673705110006416e-214,CDH3,1.8721594,8.97720679304652e-85,LGALS1,2.895666,1.7458571966106704e-13,NC_026433.1,11.313274,6.881339470286669e-242,FOXI1,12.786368,6.917193808216317e-49
AGR2,3.7652922,0.0,ALOX15,4.409603,0.0,S100A16,1.910401,0.0,COL17A1,4.7119923,0.0,ANXA2,1.0327412,0.0,FGFBP1,5.296437,0.0,ALDH1A3,1.9844793,0.0,CXCL8,4.7776446,1.1067840782908414e-290,SH3BGRL3,1.6822382,0.0,DHRS9,2.3796697,1.1140418813899816e-193,C9orf116,9.404125,0.0,WFDC2,3.4488814,0.0,NC_026438.1,9.548016,0.0,CTSB,1.5558639,0.0,STMN1,5.834665,2.6560801147456806e-204,MALAT1,1.6794773,1.4833561595486288e-84,RPS29,0.42578784,1.7458571966106704e-13,NC_026434.1,12.246108,1.7033949416950434e-238,CRYM,8.28257,1.1389993433829136e-47
LCN2,3.8376594,0.0,DHRS9,2.6709723,0.0,SERPINB1,2.609326,0.0,KRT15,2.8741286,0.0,ACTG1,1.2844728,0.0,PTMA,1.0388278,0.0,RHOB,3.6423147,0.0,CD55,4.2268744,6.864847811818262e-287,STAT1,2.1421773,0.0,SAT1,1.4047549,1.0479193205192882e-191,AC007906.2,9.811057,0.0,XBP1,3.4104054,0.0,NC_026434.1,9.666075,0.0,NUPR1,4.791997,0.0,SMC4,5.1950645,5.608720246610312e-199,APLP2,0.9205545,6.089485247047261e-84,PSCA,2.7979493,3.953776654289464e-12,NC_026432.1,10.855862,4.7737043804991383e-237,FAM43A,6.5644684,4.004708694154954e-46
PLEKHS1,5.237097,0.0,EPAS1,2.140828,0.0,RPL6,0.7933493,0.0,IGFBP7,3.5415785,0.0,IGFBP2,3.7773385,0.0,HNRNPA2B1,1.1819367,0.0,GPRC5A,2.4843752,0.0,SOD2,3.3544884,2.1042733506180886e-271,COL17A1,4.7988577,0.0,CTSC,2.036352,1.292185217563547e-189,ENKUR,10.698227,0.0,OAS2,2.887572,0.0,SLPI,2.7726746,0.0,SFN,3.452299,0.0,PA2G4,1.8147448,1.421157544134656e-196,LAMB3,2.7164912,9.069680145975272e-81,WFDC2,1.8092678,8.598785593855248e-12,MTRNR2L12,2.8948371,3.436289654906276e-200,KRT8,2.1419594,5.225013210754364e-46
BPIFA1,5.935069,0.0,GCNT3,3.8031723,0.0,RPL14,0.9156713,0.0,JAG2,4.2116466,0.0,IGFBP7,3.906735,0.0,TUBB,2.1320727,0.0,TGFB2,4.1192374,4.742935994586715e-301,C15orf48,4.9616094,3.506314672360501e-268,IL1RN,3.2003713,0.0,IGFBP3,1.7278967,6.060238176187272e-184,ROPN1L,10.881609,0.0,IFI44L,3.6939592,0.0,MT-ND3,0.96122235,0.0,TPM1,3.6188717,0.0,SERPINB13,4.510306,6.515666069959418e-195,CAVIN1,3.9723215,2.526460498006574e-79,RPL41,0.37003416,1.0394018850621768e-11,CNBD1,9.843749,1.5620109342815016e-196,MUC20,4.7932377,6.58533913703759e-44
