Goblet_0_n,Goblet_0_l,Goblet_0_p,Club_1_n,Club_1_l,Club_1_p,SupraB_2_n,SupraB_2_l,SupraB_2_p,Basal_3_n,Basal_3_l,Basal_3_p,SupraB_4_n,SupraB_4_l,SupraB_4_p,SupraB_5_n,SupraB_5_l,SupraB_5_p,Goblet_6_n,Goblet_6_l,Goblet_6_p,Goblet_7_n,Goblet_7_l,Goblet_7_p,Basal_8_n,Basal_8_l,Basal_8_p,Club_9_n,Club_9_l,Club_9_p,MultiC_10_n,MultiC_10_l,MultiC_10_p,Mixed_11_n,Mixed_11_l,Mixed_11_p,Mixed_12_n,Mixed_12_l,Mixed_12_p,Mixed_13_n,Mixed_13_l,Mixed_13_p,SupraB_14_n,SupraB_14_l,SupraB_14_p,SupraB_15_n,SupraB_15_l,SupraB_15_p,Mixed_16_n,Mixed_16_l,Mixed_16_p,Mixed_17_n,Mixed_17_l,Mixed_17_p,Club_18_n,Club_18_l,Club_18_p
SLPI,3.863275,0.0,GSN,1.955779,0.0,SERPINB13,4.777518,0.0,IGFBP6,5.8866,0.0,TINAGL1,3.9195733,0.0,TUBA1B,3.530104,0.0,RAB11FIP1,4.0888863,0.0,PDZK1IP1,5.128766,0.0,IFI6,5.6737933,0.4154279928469858,SERPINB4,4.270964,8.464954162753094e-301,CAPS,8.518335,0.0,IFIT1,8.804633,7.445372059879378e-11,NC_026432.1,6.5603566,2.8353976384127803e-60,LAMC2,5.9756384,1.1610527890157568e-229,H2AFZ,2.4051013,0.0,MALAT1,1.982048,9.643843575737317e-66,RPL31,0.48848844,4.901772230645433e-16,NC_026435.1,13.628641,0.14789880838027405,KIT,12.231331,1.636933821732247e-56
BPIFB1,6.438773,0.0,B4GALT5,2.9454427,0.0,CLCA4,5.514022,0.0,ITGB1,1.9349277,0.0,LGALS1,6.4118023,0.0,STMN1,6.331946,0.0,STEAP4,4.9248157,0.0,FTH1,1.3012317,0.0,IFITM3,2.4253914,0.4154279928469858,DHRS9,2.6892452,3.6283306631747463e-286,TPPP3,10.461705,0.0,IFI44L,8.224381,7.445372059879378e-11,NC_026433.1,6.4014134,2.8353976384127803e-60,TPM1,5.215864,1.252375717377868e-223,HMGB1,1.5905402,0.0,DST,3.911552,2.589669608692631e-57,RPL23,0.479692,7.007150662417479e-15,NC_026438.1,13.666372,0.14789880838027405,ANXA4,2.37867,8.452406619310657e-48
PIGR,6.343196,0.0,TNFSF10,1.9485285,0.0,CSTA,3.1627867,0.0,DST,4.922998,0.0,LDHA,1.9207743,0.0,HMGB1,1.649832,0.0,MUC1,3.7052035,0.0,CXCL8,5.278871,0.0,ISG15,7.711091,0.4154279928469858,MT1X,1.5875739,5.275722915923889e-240,PIFO,10.689051,0.0,XAF1,6.4702077,7.445372059879378e-11,NC_026436.1,6.258894,2.8353976384127803e-60,SERPINE2,8.299904,2.065543121974887e-223,TUBA1B,3.186485,0.0,COL17A1,4.0914383,5.446242551404448e-51,TPT1,0.4307972,7.007150662417479e-15,NC_026431.1,11.293243,0.14789880838027405,NREP,7.5034747,1.045638601614787e-42
XBP1,4.1272397,0.0,EPAS1,2.1680038,0.0,SERPINB1,2.2537427,0.0,WNT10A,5.788838,0.0,PDLIM1,2.0721235,0.0,H2AFZ,2.3382568,0.0,MACC1,4.278033,0.0,PSAT1,5.4241576,0.0,STAT1,3.5196757,1.0,IGFBP3,1.8766981,2.8262657774588595e-208,ZMYND10,10.876406,0.0,IFI6,5.6328993,1.1680816040555875e-10,NC_026431.1,5.8920116,2.7985353881749246e-57,PMEPA1,6.0144258,3.54505966588011e-219,HMGN2,2.3226635,0.0,LAMC2,3.1167686,2.184264819863463e-50,KRT5,2.5071607,1.2597836918296634e-14,NC_026436.1,11.338738,0.14789880838027405,HEPACAM2,11.440157,2.657924539507148e-40
SCGB3A1,5.6935663,0.0,RDH10,3.5637944,0.0,S100A16,1.7565501,0.0,CTSH,1.6061814,0.0,S100A10,3.0065746,0.0,DEK,2.8581648,0.0,GPRC5A,2.3746445,0.0,ASNS,5.488771,0.0,XAF1,5.8287544,1.0,SAT1,1.4142421,6.983396916609869e-201,RSPH1,10.4157095,0.0,OAS2,6.507663,1.6627532033541753e-10,NC_026434.1,6.88072,8.745740701361024e-55,KRT17,4.380274,1.210590497652117e-211,STMN1,5.497308,6.092284152925961e-270,ITGB1,1.0173699,6.480903275511791e-41,RPS15A,0.53712875,3.157771611476424e-14,NC_026432.1,11.294049,0.14789880838027405,AZGP1,9.228381,3.752493548261587e-40
CXCL17,3.5022287,0.0,DHRS9,2.729584,0.0,AQP3,2.5235581,0.0,KRT15,3.598455,0.0,S100A2,3.2157576,0.0,HMGN2,2.3503397,0.0,MUC4,3.6753306,0.0,CLIC4,3.4805949,0.0,PTHLH,6.2143335,1.0,TCN1,3.2263525,4.734510159114541e-191,C1orf194,10.740911,0.0,STAT1,3.8471234,1.702536226687693e-10,NC_026435.1,7.0845103,1.4303179473140337e-50,TGFBI,5.793088,2.2825388520029226e-205,HNRNPA2B1,1.1128916,1.3195348924112363e-262,APP,0.63802415,1.4049010568854012e-39,RPL32,0.52360505,3.157771611476424e-14,NC_026437.1,12.740705,0.14789880838027405,SLC6A9,4.9303174,5.344109193723744e-34
LCN2,4.2577024,0.0,TXNIP,1.7821324,0.0,SERPINB5,3.6023183,0.0,SH3BGRL3,1.8876098,0.0,CAV1,5.245364,0.0,FGFBP1,5.073304,0.0,GABRP,4.6818304,0.0,C15orf48,5.1765394,0.0,IFI44,5.88993,1.0,FAM83A,1.6610906,1.2558060445561637e-183,LRRIQ1,9.465115,0.0,SP110,5.042511,3.482643408042949e-10,NC_026437.1,6.983819,7.199055094991756e-48,LAMB3,4.359168,3.072612164475526e-202,PTTG1,5.229224,6.485573148220062e-249,CD44,2.3304691,2.3032702544225636e-39,RPL21,0.46806908,4.5053102724541495e-14,NC_026434.1,11.509418,0.14789880838027405,FAM43A,5.983149,5.623750796533388e-34
BPIFA1,5.8008337,0.0,SELENOP,2.228102,0.0,RPS24,0.7545339,0.0,COL17A1,5.3856854,0.0,IGFBP7,4.201763,0.0,TUBB,2.1470933,0.0,CEACAM6,4.9621496,0.0,SAA1,4.3755665,0.0,CA9,5.8103566,1.0,CRABP2,1.773131,2.786456082449524e-172,AC007906.2,9.494312,0.0,MX2,8.090622,4.5564193289337217e-10,NC_026438.1,6.8785877,4.122914604409188e-46,ACTN1,3.8968399,9.363951122722614e-202,SERPINB13,4.39072,6.485573148220062e-249,ITGA3,2.2827816,1.2936152477268972e-36,RPL37A,0.4714829,4.8359881337031694e-14,NC_026433.1,10.37933,0.14789880838027405,CRYM,6.685483,7.497264710358019e-33
AGR2,3.3802707,0.0,WFDC2,2.8408163,0.0,S100A14,1.9690927,0.0,PDLIM1,1.9314057,0.0,CAVIN1,5.354735,0.0,MT2A,3.2051277,0.0,SCNN1A,2.0370696,0.0,B4GALT1,1.5991986,0.0,LAMP2,2.1342847,1.0,CTSB,0.7724383,2.03257920398001e-169,ARMC3,10.628757,0.0,MX1,7.1055584,6.318005149897844e-10,SLPI,2.5490544,3.8971354785176274e-23,SERPINE1,7.9593344,3.347507851417178e-201,SMC4,4.8148675,4.6188511141744586e-242,LAMA3,3.214683,8.949440425829136e-35,KRT15,2.0007453,5.823942243989864e-14,FOXO1,6.2688375,0.14789880838027405,ATP6V1G1,1.2355729,7.497264710358019e-33
WFDC2,3.6849427,0.0,SERPINB3,3.1162844,0.0,RPL37A,0.83240676,0.0,BCAM,4.3518295,0.0,SH3BGRL3,1.9396874,0.0,PLP2,4.784618,0.0,PSCA,5.0353656,0.0,SOX4,2.200434,0.0,NT5C3A,4.498709,1.0,PSAP,0.7846779,1.2398493928309027e-165,PSENEN,4.401249,0.0,IFIT3,6.8115783,1.385791695583547e-09,WFDC2,2.8195384,1.2655870558220436e-22,ITGB6,4.739643,1.6865353323719507e-194,KRT6A,4.2416716,9.55489500817004e-239,APLP2,0.09374804,1.1405940761418116e-34,RPS20,0.42792737,8.789634045808721e-14,DIP2B,7.469186,0.14789880838027405,H3F3A,0.6745808,4.919645059798835e-30
CD74,3.583817,0.0,MT-CYB,0.6242995,0.0,MT1X,1.7321372,0.0,TPT1,0.78233904,0.0,CCND2,4.2377515,0.0,PTMA,0.9877829,0.0,C3,3.5742826,0.0,SLC3A2,2.7410524,0.0,IFI44L,7.2454515,1.0,KRT23,2.3678312,1.162424717646283e-164,ENKUR,10.596355,0.0,ISG15,7.344568,1.6852309982540751e-09,BPIFA1,4.0379095,2.7203766249934457e-21,VIM,8.118232,2.238827021355006e-194,CEP55,7.2898016,3.1531901275367425e-237,ITGA6,3.1514256,2.099173925651899e-34,RPL27A,0.47581944,8.789634045808721e-14,MALAT1,2.939403,0.14789880838027405,KYNU,3.4704883,3.0403205744495133e-29
CP,4.7744956,0.0,ALCAM,1.1305974,0.0,RPS6,0.74191254,0.0,KRT5,3.8492227,0.0,PTHLH,5.6950655,0.0,TYMS,6.925527,0.0,ALDH1A3,1.5094718,2.712536574130683e-304,GARS,2.9449773,0.0,MX2,6.2437844,1.0,TMSB4X,0.7008691,4.4254271769473404e-163,DNALI1,8.617483,0.0,IFI44,6.6086526,1.952328822243448e-09,SCGB3A1,3.883016,2.7203766249934457e-21,SFN,3.4748604,7.429507634392462e-192,TOP2A,7.3730593,5.215716691651359e-235,CDH3,0.7626415,2.5351741708581476e-34,RPL34,0.4586361,1.0179256783525833e-13,CHD3,4.140737,0.14789880838027405,MUC20,3.965667,3.2529063102046034e-29
CAPN13,5.841449,0.0,ELF3,2.3562937,0.0,RPS8,0.8192461,0.0,GJA1,4.890314,0.0,GAPDH,1.1818299,0.0,SMC4,5.0038433,0.0,SLC6A14,3.7978292,1.1980496259898807e-294,PMEPA1,4.0452228,0.0,PDLIM1,2.0259814,1.0,FTH1,0.7426292,2.898540659206336e-159,CCDC170,10.253488,0.0,IFI27,7.065785,2.5495915734761987e-09,CXCL17,2.6075227,2.7203766249934457e-21,EIF1,1.2065439,2.055896865130783e-184,DEK,2.4011185,4.739884199185098e-232,AHNAK,1.1610717,5.8828112031664145e-34,RPL10,0.45802042,1.018617865943326e-13,UBR5,5.2572174,0.14789880838027405,ATP6V0B,1.6005943,6.386327189975684e-29
PLEKHS1,5.0681324,0.0,ATP1B1,1.1303716,0.0,RPS29,0.8226265,0.0,CAV1,4.794836,0.0,ANXA2,1.0016531,0.0,HNRNPA2B1,1.0720183,0.0,VGLL1,4.098874,2.5272091984893833e-272,EIF1,0.7480247,0.0,SLC2A1,2.4677846,1.0,SERPINB3,2.6079047,9.392750624793177e-145,PPIL6,9.814255,0.0,RSAD2,9.319089,2.5495915734761987e-09,BPIFB1,4.308194,1.0909363646151856e-20,AMIGO2,6.8975115,6.006282572665271e-179,BIRC5,7.28966,3.203051913048335e-230,ATP2A2,0.26903677,3.356778583102884e-33,RPS8,0.4521101,3.937721844260162e-13,SEMA3A,4.1397014,0.14926917803552375,SOX4,2.23562,1.442077304997879e-28
HLA-DRA,5.630543,0.0,CLINT1,1.557563,0.0,RPL39,0.86472124,0.0,ALDH3A1,3.4146044,0.0,ACTG1,1.158388,0.0,CCDC3,5.7538133,0.0,PIGR,4.460927,7.377977841723239e-272,KRT7,2.2419865,0.0,OPTN,2.7832417,1.0,SELENOP,1.8270206,4.85553185322621e-141,ROPN1L,10.750714,0.0,OAS1,6.252914,2.5495915734761987e-09,XBP1,2.9145648,1.856920951261648e-20,LAMA3,5.573095,5.673214369612492e-178,MKI67,7.3518963,5.24793899405186e-230,CDK6,1.5307232,4.3153427137251896e-32,FABP5,2.3705428,3.937721844260162e-13,NT5C2,3.1069822,0.200511249133613,PTMA,0.73102075,1.1187557865041782e-27
C3,4.436006,0.0,CYP4X1,2.717344,0.0,RPL23,0.7687681,0.0,IGFBP7,3.8649576,0.0,TXNDC17,1.9119854,0.0,PTTG1,5.2689857,0.0,GOLM1,2.698665,3.847399510139144e-270,SPINT1,1.2107835,0.0,ARNTL2,4.5925875,1.0,CTSC,1.6844887,4.332766981272964e-139,FAM183A,9.858317,0.0,TNFSF10,2.930748,2.5495915734761987e-09,PIGR,4.2847915,5.534163269769516e-19,CALD1,4.837549,6.665145863399837e-173,ANP32B,1.2816906,6.521064153590725e-229,ITGB4,2.361792,9.708911238744519e-32,RPS12,0.52320033,4.4309088324422627e-13,AC108134.2,10.304811,0.200511249133613,MARCKSL1,3.0345063,3.512315932547053e-26
MSMB,6.170777,0.0,TMEM59,0.9699217,0.0,ANXA1,1.6481627,0.0,CAVIN1,4.869106,0.0,MT2A,2.9207218,0.0,CAV1,5.057047,0.0,MAL2,1.9223421,5.165381141012514e-270,STOM,1.5092024,0.0,MX1,5.304375,1.0,CAMK2N1,2.0539522,1.3636772140733612e-132,KIF9,7.252427,0.0,HERC6,6.069399,3.8358879247150866e-09,LCN2,2.7986226,2.7614513007846247e-18,TAGLN2,2.0981047,7.624511832142085e-173,AQP3,2.5380147,1.8602219756405967e-228,CD109,2.8298216,2.6837572958432515e-31,RPS4X,0.48032334,4.547745972085673e-13,CNBD1,9.646388,0.20532072363437262,ATP6V1C2,5.9172735,9.948613255943195e-26
RARRES1,5.6628103,0.0,GLUL,1.04132,0.0,RPL6,0.7285677,0.0,S100A10,2.7353492,0.0,PGK1,1.3182195,0.0,PFN1,1.1506947,0.0,SLC34A2,4.1592855,4.914339478970896e-268,CDKN2B,3.818459,8.553851511315159e-307,IFITM1,5.4274583,1.0,RAB10,0.80577624,6.175827777038987e-132,CTXN1,8.242017,0.0,PLSCR1,3.6858664,3.886580948511574e-09,AGR2,2.2498002,5.291921980700036e-18,CAVIN1,5.4896765,1.3454823459634705e-172,PTMA,0.8248692,1.622453231666462e-227,TINAGL1,1.5795195,3.3571000402942714e-31,RPL39,0.49251074,5.390465630375881e-13,IRAK2,8.599578,0.21064781035936728,FOXI1,11.616135,1.229433118513507e-25
CEACAM6,5.818338,0.0,LGALS3,1.1435469,0.0,RPL11,0.78051126,0.0,PLP2,4.318329,0.0,IGFBP2,3.8441057,0.0,ITGA6,4.8640785,0.0,PNPLA2,2.2866313,5.559218525363201e-258,PCK2,4.4631376,1.986301751105078e-304,MCUB,5.4859185,1.0,CEACAM1,2.5966594,6.423590296684119e-130,C9orf24,10.453963,0.0,OAS3,6.3186955,6.447495050576766e-09,CEACAM6,4.1585355,1.8921210783503752e-16,FERMT1,5.010395,1.5761107467325132e-165,ZWINT,5.6706085,2.477465731716303e-227,LAMB3,1.7079669,2.898700332269961e-30,RPL35A,0.4524944,5.756019847503314e-13,NEAT1,2.8537464,0.24858996526911845,ATP2A3,7.929668,1.9876869927386822e-25
CYP2F1,6.247656,0.0,MDK,2.5874646,0.0,RPL14,0.8045994,0.0,SFN,2.8229475,0.0,PFN1,1.1076323,0.0,COL17A1,5.318761,0.0,LMO7,2.2305543,2.902806858873394e-255,VEGFA,3.1313915,8.155475401215323e-302,C19orf66,3.6570973,1.0,MARCKS,1.1664683,1.9048615282607876e-128,C9orf116,8.718609,0.0,DDX60L,6.4653854,1.2318425264314091e-08,CP,3.1895595,2.3506089486408795e-16,ITGAV,4.2189875,2.4732338406395686e-163,HMGB2,5.5265594,5.97661925054344e-225,EGFR,1.5366906,2.190231965144271e-29,SCGB3A1,2.3240392,5.756019847503314e-13,GON4L,6.0642204,0.2579109387075548,CYB5A,1.8695917,2.5079354606781016e-25
HLA-DRB1,5.0546985,0.0,GSTA1,3.6535327,0.0,IL1RN,3.5479858,0.0,ITGA6,4.4494414,0.0,CD44,3.8533967,0.0,RRM1,4.1764383,0.0,ELF3,2.2230837,2.264586079639436e-245,TCIM,4.590647,2.5203241925302465e-299,OAS1,4.7319,1.0,CTSD,0.97239393,4.427948670491419e-127,TEKT1,10.545416,0.0,IFIH1,5.686128,1.8514255774904368e-08,RARRES1,3.8941596,4.701148398953068e-16,CTSB,1.6134102,2.872408204115341e-163,TYMS,5.9275365,2.1291126097424735e-222,GJB2,2.3762493,5.214740968367045e-29,CAV1,2.761047,5.816913934384376e-13,ZMYND8,3.7421868,0.2708223495787762,ATP6V1A,2.1642573,2.14970300888072e-24
SLC34A2,5.2854977,0.0,S100P,3.5615735,0.0,GPX2,3.4568672,0.0,CCDC3,4.98539,0.0,CTSH,1.5499136,0.0,TOP2A,7.7227883,0.0,AGR2,2.372842,1.7830251225740636e-243,CEBPB,2.2900493,8.705361291525063e-299,CTSH,1.5830996,1.0,SERPINB1,1.3458486,1.9719307482710514e-122,CCDC146,7.101808,0.0,DDX58,6.4208865,3.33061096131295e-08,HLA-DRA,3.911572,4.832759369744534e-16,PDLIM7,4.257326,1.8940890041921795e-162,TPX2,6.619983,9.466414329584325e-217,FLNA,2.748125,1.221435122722489e-28,RPS6,0.41892052,6.556057980430021e-13,RUFY3,5.6282916,0.2828001134585402,PHLDA1,3.643355,3.114519684632655e-24
VMO1,5.814368,0.0,SAT1,1.3704523,0.0,RPS2,0.85771984,0.0,LOXL4,4.096529,0.0,FHL2,2.9934075,0.0,MKI67,7.948521,0.0,BPIFB1,4.097841,8.275379278377715e-239,MTHFD2,3.3387706,5.200581761020615e-298,IFIT1,6.3053813,1.0,MMP7,3.0882478,4.832222951500372e-122,C20orf85,10.678675,0.0,SAMD9L,6.206138,4.498704302578356e-08,C3,3.136899,1.4678956958211774e-15,TAGLN,7.9853997,7.181862162196454e-161,MT1X,1.8680707,6.089822539241281e-215,KRT5,2.5925777,3.7444371070392715e-28,S100A2,1.972906,1.0653115411520587e-12,RBM47,3.7364638,0.28375250714950073,POU2F3,7.271627,3.514457985886676e-24
SCNN1A,2.386016,0.0,CTSC,1.8610518,0.0,RPS13,0.7881451,0.0,EEF1A1,0.55719185,0.0,ACTN1,3.1034472,0.0,DUT,2.651902,0.0,ARHGDIB,3.0040584,1.1729044401935913e-238,ERRFI1,2.8689284,1.270345608751679e-297,NPC2,1.3610609,1.0,PLAT,3.23519,8.971597766098553e-122,CFAP126,10.9584255,0.0,TRIM22,3.1653507,4.739919479769695e-08,CD74,2.3352435,4.878965900754785e-15,CDH3,2.3483267,3.101713445880695e-159,HNRNPA3,1.3849998,1.9152044283214265e-212,MYH9,0.63567907,2.925865944118646e-27,RPLP1,0.4594673,1.0653115411520587e-12,UPF2,4.4831243,0.3311961165009492,KRT8,1.5733984,1.3751170956590868e-23
MUC1,3.9502156,0.0,PNPLA2,2.1861901,0.0,RPL32,0.86699104,0.0,TNFRSF21,1.6551958,0.0,NPC2,1.3263526,0.0,DST,4.6443534,0.0,XBP1,2.8275452,7.222282727826657e-238,IL32,4.8861604,7.306522306725535e-296,PLSCR1,3.2662334,1.0,ATP6V0E1,0.6911108,1.319246138165582e-115,SPATA17,9.219471,0.0,EPSTI1,7.2006197,8.46578636220604e-08,S100P,3.477022,1.7455463961981447e-14,TNFRSF12A,3.9530547,3.6041900069527004e-158,PA2G4,1.3856353,7.262377175632266e-212,CCND2,2.2445352,3.958738563199875e-27,NPC2,0.60315883,1.0653115411520587e-12,JMJD1C,4.9566903,0.338833230620742,EPCAM,2.8884826,1.2289415718540646e-22
SELENBP1,4.364759,0.0,CYB5A,1.6898726,0.0,LYPD3,4.5726285,0.0,SPATS2L,1.4926804,0.0,MMP2,5.2832527,0.0,CKS1B,4.3186574,0.0,DUSP4,3.3819473,1.1094074035346995e-236,PTGS2,4.804369,5.0221582419255825e-292,PTK2B,3.7825475,1.0,GMNN,2.3115284,2.139890401242923e-109,C9orf135,10.547409,0.0,SAMHD1,4.946431,9.643902851566573e-08,CYP2F1,4.085589,2.1181028065719442e-14,ACTB,1.2015932,2.2495187374839843e-156,PPIA,0.7627379,2.173841744093363e-211,SPTBN1,0.8935653,1.7153209883223425e-26,RPL12,0.53653383,1.1524426033942589e-12,TXNIP,1.8332942,0.37222380566626756,TMEM51,3.756984,2.985091240857246e-22
RARRES3,3.2449102,0.0,GABRP,3.7004538,0.0,RPS3,0.880129,0.0,LDHA,1.5548527,0.0,ARPC2,0.9556794,0.0,ITGB1,1.7451239,0.0,LCN2,2.6901927,2.9367695797207447e-236,CD55,3.6702788,4.165124390642087e-291,TGFBI,4.294281,1.0,TMPRSS4,1.0539687,8.750683834063764e-109,SAXO2,10.309173,0.0,EIF2AK2,3.5489366,1.1726632118180335e-07,SLC34A2,3.6380825,8.379434810778237e-14,PEA15,2.8719647,5.515157152194761e-156,CENPW,5.3091574,3.1866017640036177e-208,GJA1,2.983571,4.2593834030525324e-26,RPS29,0.4535548,3.1105257631887087e-12,IPO7,1.7757148,0.3744302210365692,KCNN3,8.523662,8.888231388184618e-22
