Goblet_0_n,Goblet_0_l,Goblet_0_p,Club_1_n,Club_1_l,Club_1_p,SupraB_2_n,SupraB_2_l,SupraB_2_p,Basal_3_n,Basal_3_l,Basal_3_p,SupraB_4_n,SupraB_4_l,SupraB_4_p,SupraB_5_n,SupraB_5_l,SupraB_5_p,Goblet_6_n,Goblet_6_l,Goblet_6_p,Goblet_7_n,Goblet_7_l,Goblet_7_p,Basal_8_n,Basal_8_l,Basal_8_p,Club_9_n,Club_9_l,Club_9_p,MultiC_10_n,MultiC_10_l,MultiC_10_p,Mixed_11_n,Mixed_11_l,Mixed_11_p,Mixed_12_n,Mixed_12_l,Mixed_12_p,Mixed_13_n,Mixed_13_l,Mixed_13_p,SupraB_14_n,SupraB_14_l,SupraB_14_p,SupraB_15_n,SupraB_15_l,SupraB_15_p,Mixed_16_n,Mixed_16_l,Mixed_16_p,Mixed_17_n,Mixed_17_l,Mixed_17_p,Club_18_n,Club_18_l,Club_18_p
BPIFB1,6.4079256,0.0,RDH10,4.6626306,0.0,SERPINB13,4.418129,0.0,DST,4.4357157,0.0,TINAGL1,3.6438184,0.0,TUBA1B,3.4562938,0.0,MUC1,4.2810388,1.4241809712156604e-149,PDZK1IP1,5.777178,0.0,PDLIM1,1.7157464,0.0,SERPINB4,4.9852843,0.0,TPPP3,10.883555,0.0,TNFSF10,2.3919566,0.0,NC_026432.1,9.583379,0.0,LAMC2,5.0753493,0.0,H2AFZ,2.7820115,0.0,MALAT1,2.1245897,5.498689666643533e-87,SCGB3A1,3.126267,6.009046037968903e-36,NC_026435.1,14.034009,1.7028734657687476e-244,KIT,12.279356,4.534551905692468e-69
SLPI,3.7122872,0.0,B4GALT5,3.3785589,0.0,CLCA4,5.203169,0.0,WNT10A,4.9959517,0.0,LDHA,1.8919898,0.0,HMGB1,1.7777121,0.0,RAB11FIP1,4.768684,1.4241809712156604e-149,PSAT1,5.771497,0.0,IFI6,3.2898023,0.0,DHRS9,2.978025,2.61868959579313e-239,CAPS,9.155109,0.0,C3,4.209914,0.0,NC_026436.1,9.250098,0.0,KRT17,3.771307,0.0,HMGB1,1.7976041,0.0,DST,4.0188847,6.847052510604743e-76,BPIFB1,3.4062626,1.608453239320589e-33,NC_026437.1,13.634648,5.480789461146574e-243,ANXA4,2.804228,1.6563833761873653e-66
PIGR,6.4508715,0.0,WFDC2,3.4899633,0.0,SERPINB1,2.7464418,0.0,KRT15,3.3090498,0.0,LGALS1,5.6576967,0.0,H2AFZ,2.6523743,0.0,CEACAM6,5.831995,5.8471048454083544e-148,CXCL8,5.5814557,0.0,CTSH,1.6391257,0.0,CTSB,1.0652679,6.308548355455891e-228,PIFO,11.168079,0.0,MX2,4.8466177,0.0,NC_026431.1,8.874495,0.0,SERPINE1,7.529187,0.0,HMGN2,2.55553,0.0,LAMC2,3.539855,3.0789402828445767e-73,SLPI,1.5687551,1.397133077194526e-24,NC_026438.1,13.493216,8.626759008788822e-243,HEPACAM2,11.326824,4.637037281802625e-49
XBP1,4.1259346,0.0,GSN,2.2566335,0.0,CSTA,2.9026737,0.0,ALDH3A1,3.6574142,0.0,CCND2,4.1844726,0.0,DEK,3.182896,0.0,MUC4,4.503811,5.8471048454083544e-148,CD55,4.6573796,0.0,IFIT1,4.445587,0.0,CTSC,2.3498476,7.021152344131877e-225,C1orf194,11.239345,0.0,CP,4.6476007,0.0,NC_026433.1,9.195607,0.0,PMEPA1,5.3478155,0.0,TUBA1B,3.1521745,0.0,COL17A1,4.045326,9.863210925719324e-73,BPIFA1,2.6598074,3.6638177489941826e-24,NC_026436.1,11.72574,4.690532212649031e-241,AZGP1,9.636347,5.46705843814763e-49
SCGB3A1,5.5367517,0.0,GABRP,5.3559904,0.0,AQP3,2.6691651,0.0,KRT5,3.379317,0.0,ANXA2,1.0297073,0.0,STMN1,6.2946243,0.0,STEAP4,5.7548423,2.861190741162687e-147,SPINT1,1.5491437,0.0,STAT1,2.448415,0.0,SAT1,1.6918482,4.2965019111048353e-219,RSPH1,10.679069,0.0,XAF1,3.169613,0.0,NC_026437.1,9.937833,0.0,TPM1,4.3426933,0.0,HNRNPA2B1,1.3381306,0.0,APP,1.3414688,1.1104620468728388e-72,WFDC2,1.9643797,9.496749852076663e-20,NC_026434.1,12.584952,4.232099754147215e-240,NREP,6.9177475,3.0637102245791764e-47
WFDC2,4.041477,0.0,GLUL,1.5867261,0.0,SERPINB2,4.957524,0.0,IGFBP6,4.410845,0.0,IGFBP2,3.601151,0.0,HMGN2,2.5567052,0.0,C3,4.1068234,3.7704605721308863e-143,ASNS,5.6399584,0.0,COL17A1,4.715722,0.0,MT1X,1.5440836,2.439320773520457e-210,PSENEN,4.895238,0.0,MX1,3.7308834,0.0,NC_026434.1,9.9530735,0.0,SERPINE2,6.3883877,0.0,STMN1,5.685375,3.7022553615674364e-301,APLP2,0.927036,4.601327915870658e-70,PIGR,2.9469166,4.257288009861663e-18,NC_026431.1,11.46173,2.17193955966025e-238,CRYM,7.9003005,4.1145660038168574e-45
BPIFA1,5.9533224,0.0,ALOX15,5.0626554,0.0,S100A16,1.7220262,0.0,BCAM,3.7456174,0.0,GAPDH,1.1926411,0.0,PTMA,1.0733261,0.0,SCNN1A,2.6282487,7.8246321940250905e-140,FTH1,1.3683114,0.0,ISG15,4.421662,0.0,MMP7,4.733341,1.383362525350988e-207,AC007906.2,9.812764,0.0,OAS2,3.2849476,0.0,NC_026435.1,9.483328,0.0,LAMB3,4.003977,0.0,SMC4,5.1489763,1.5389273098757394e-288,AHNAK,1.9386398,4.336334492183102e-68,CEACAM6,3.1094916,2.117849309029242e-16,NC_026433.1,11.419093,1.5584099282235547e-237,FAM43A,6.4761934,4.8375409680681455e-43
CXCL17,3.5977883,0.0,CLINT1,2.1650887,0.0,RPL14,0.9064317,0.0,CCDC3,4.4531507,0.0,CAV1,4.5258837,0.0,TUBB,2.2451253,0.0,MACC1,4.9183264,1.0274545879676234e-134,CEBPB,2.974164,0.0,IGFBP6,4.619207,0.0,TCN1,3.8722277,5.572009066804669e-197,ZMYND10,10.943411,0.0,OAS1,3.4734757,0.0,NC_026438.1,9.79526,0.0,ACTN1,3.4799256,0.0,BIRC5,7.353593,1.5748353046272894e-284,MYH9,1.9379771,5.027986878835504e-68,LCN2,1.6692307,9.482824025383628e-14,NC_026432.1,10.941811,7.181354603486045e-232,SLC6A9,5.1402636,6.293358578727953e-42
PLEKHS1,5.7298183,0.0,ELF3,2.9732318,0.0,S100A14,2.1367884,0.0,ITGB1,1.6625406,0.0,S100A10,2.4897928,0.0,FGFBP1,4.7072277,0.0,PIGR,5.308812,4.3389720502502095e-130,TNFAIP2,5.069099,0.0,IGFBP2,3.2128582,0.0,PSAP,1.0471183,2.4980739709956367e-183,C9orf116,9.476554,0.0,WFDC2,3.3893013,0.0,SLPI,3.104774,0.0,PLAUR,5.572076,0.0,PTMA,0.9830545,2.9293885675152914e-282,CDH3,1.8291312,4.037426912613669e-67,CYP2F1,2.8615658,1.8314251363544262e-13,MTRNR2L12,2.9560356,1.1505169913029967e-183,ATP2A3,9.195553,1.983888404228761e-40
AGR2,3.760228,0.0,EPAS1,2.4146929,0.0,RPS24,0.7643104,0.0,TNFRSF21,1.6547344,0.0,S100A2,2.6201425,0.0,HNRNPA2B1,1.198732,0.0,XBP1,3.3317492,6.829589238626396e-124,BIRC3,5.2564216,0.0,IFIT3,3.7202523,0.0,KRT23,2.496431,2.1673407997103773e-173,C9orf24,10.970732,0.0,LGALS9,3.3662798,0.0,GPR158,8.437689,0.0,LAMA3,5.1741276,0.0,TOP2A,7.5450134,5.0185453368165154e-278,ITGB1,1.4194236,1.2020313501254587e-66,RARRES1,2.5670204,1.9856886440740224e-13,CNBD1,9.466701,8.34470264669056e-181,MUC20,4.7117515,2.194480450468466e-39
