"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Basal_SERPINE1+","Basal_SERPINE1+","TGFB1","TGFbR1_R2",0.2683282686244,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Basal_SERPINE2+","Basal_SERPINE1+","TGFB1","TGFbR1_R2",0.124445149973953,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Basal_IGFBP6+","Basal_SERPINE1+","TGFB1","TGFbR1_R2",0.100964166365849,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"SupraB_KRT16+","Basal_SERPINE1+","TGFB1","TGFbR1_R2",0.079979960608125,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Basal_SERPINE1+","Basal_SERPINE2+","TGFB1","TGFbR1_R2",0.207911079862769,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Basal_SERPINE2+","Basal_SERPINE2+","TGFB1","TGFbR1_R2",0.0940242091648392,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Basal_IGFBP6+","Basal_SERPINE2+","TGFB1","TGFbR1_R2",0.0761861223770552,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"SupraB_KRT16+","Basal_SERPINE2+","TGFB1","TGFbR1_R2",0.0604027689731409,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Basal_SERPINE1+","SupraB_KRT16+","TGFB1","TGFbR1_R2",0.0692960228831691,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Basal_SERPINE2+","SupraB_KRT16+","TGFB1","TGFbR1_R2",0.0305736233135005,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Basal_IGFBP6+","SupraB_KRT16+","TGFB1","TGFbR1_R2",0.0247431739444734,0.03,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"SupraB_KRT16+","SupraB_KRT16+","TGFB1","TGFbR1_R2",0.0196329889871877,0.02,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Goblet_STEAP4+","Basal_SERPINE1+","TGFB2","TGFbR1_R2",0.203007050770944,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Club_DHRS9+","Basal_SERPINE1+","TGFB2","TGFbR1_R2",0.218997417954262,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"iavEpi","Basal_SERPINE1+","TGFB2","TGFbR1_R2",0.072583862587031,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Basal_SERPINE1+","Basal_SERPINE1+","TGFB2","TGFbR1_R2",0.106709504639144,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Basal_SERPINE2+","Basal_SERPINE1+","TGFB2","TGFbR1_R2",0.125379174390073,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
