0_n,0_l,0_p,1_n,1_l,1_p,2_n,2_l,2_p,3_n,3_l,3_p,4_n,4_l,4_p,5_n,5_l,5_p,6_n,6_l,6_p
KRT4,4.3160396,0.0,WFDC2,1.3448002,0.0,S100A2,3.2722087,0.0,CTSB,0.6653378,2.960163170130907e-289,WFDC2,1.6430941,0.0,IGFBP3,1.8777704,0.0,KIT,11.937251,8.884618230175733e-265
CSTA,2.4230192,0.0,PIGR,3.157775,0.0,IGFBP7,4.81965,0.0,SAT1,0.5869739,1.61451327394934e-256,SLPI,1.2757312,0.0,RARRES1,3.3414958,2.298762974208093e-242,ANXA4,2.417785,1.5483820644073958e-229
ALDH1A1,1.6006919,0.0,BPIFB1,2.850918,0.0,S100A10,3.0148385,0.0,PSAP,0.5104008,3.2857878897767e-171,BPIFB1,3.4431798,0.0,SAA1,2.8393004,1.7191320646784832e-212,SLC6A9,5.335683,2.377198306443721e-197
ALOX15,2.784297,0.0,XBP1,1.612174,0.0,ANXA2,0.8340227,0.0,MDK,1.0264399,1.8891580348987964e-148,SCGB3A1,3.0592628,0.0,CXCL8,3.0994735,2.9218301268759005e-209,NREP,7.225909,3.918891360703066e-180
GABRP,2.400001,0.0,CD74,1.4353073,0.0,KRT5,3.340215,0.0,TNFSF10,0.55857754,3.054396474354733e-127,CD74,1.5892838,0.0,ITGB6,2.6989336,1.9678150237652287e-200,AZGP1,9.029062,3.775781606429403e-179
GLUL,0.6305719,0.0,SCGB3A1,2.347864,0.0,S100A11,0.70759547,0.0,VTCN1,1.1230952,1.4947990366132327e-121,PIGR,3.2005157,0.0,KRT17,2.6286674,2.8039527977484395e-197,CRYM,6.608717,4.376088391513978e-174
DBI,0.8889716,5.3213393102967404e-294,C3,1.7383686,0.0,CLDN1,3.450396,0.0,HIST1H2AC,1.4104936,3.0162454988002217e-112,B2M,0.67054087,0.0,SAA2,3.1432512,5.211930997202974e-188,PHLDA1,4.561231,3.7955328267272936e-168
KRT19,0.32545358,1.1370120275072422e-285,GOLM1,1.4575295,0.0,SERPINB5,3.3815012,0.0,FTL,0.5025724,4.700636375379765e-105,XBP1,1.6400878,0.0,TGM2,2.791093,1.7933006864390004e-186,PTMA,0.72602785,9.15204019384446e-165
TP53I3,2.1261437,2.5002060100937732e-281,SCNN1A,0.9368519,0.0,RPL32,0.8176212,0.0,FTH1,0.37368876,2.754456202284606e-100,CXCL17,0.66827035,3.774160016009127e-280,CTSB,0.60883176,7.49232938587035e-184,HEPACAM2,10.543626,1.5845257461941356e-164
SCGB1A1,2.7956376,9.90081659332591e-279,ALCAM,0.77674353,0.0,RPL37A,0.7506046,0.0,CRABP2,0.7069183,8.916002965831878e-93,AGR2,1.0191377,5.580442466423842e-268,CDH3,1.2612911,1.5198253258170401e-170,HSP90AA1,0.64521056,1.4783189215891218e-132
ATP12A,3.3863645,1.462716762917187e-268,CP,1.4909176,9.516785613356792e-306,IL1RN,4.016013,0.0,ASAH1,0.5189305,1.7402774422047867e-90,BPIFA1,2.6983905,1.0774632098732243e-251,MMP7,2.4834561,1.030431117251152e-159,FOXI1,11.8271265,6.076620225593714e-128
FGFBP1,2.7904303,1.1679252157153449e-262,TMC5,2.3164139,6.025964991889694e-299,TINAGL1,2.8272893,0.0,HIST1H2BD,1.334068,6.557552701616926e-88,HLA-DRA,2.42317,1.534832971614943e-247,MARCKS,0.9502719,1.6056565066546144e-154,FAM43A,4.732557,6.249003329137201e-128
CCDC80,1.9353148,1.8618696575785215e-247,MUC16,2.698909,1.3139429006170037e-297,S100A16,1.4686924,0.0,GRN,0.4411703,1.2732661914856868e-83,LCN2,1.1874701,2.0560090118975323e-242,ACTG1,0.5719574,1.5020512606533232e-152,KCNN3,8.412883,4.4862327668067956e-125
FDFT1,1.1949985,1.0583810478792913e-246,PLEKHS1,1.7954206,3.5746502908755824e-274,FABP5,3.843298,0.0,MMP7,1.6393416,5.173923848348376e-81,LY6E,0.8948271,1.3089191865198752e-204,IL1R1,2.2574852,2.0003946294847996e-152,KYNU,2.807931,7.709260629278249e-123
