"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Basal_SERPINE2+","Basal_SERPINE2+","TGFB1","TGFbR1_R2",0.162890234869871,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Basal_IGFBP6+","Basal_SERPINE2+","TGFB1","TGFbR1_R2",0.0722729312211122,0.03,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Basal_IGFBP6+","Basal_SERPINE2+","TGFB2","TGFbR1_R2",0.224628583728983,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Goblet_STEAP4+","Basal_SERPINE2+","TGFB3","TGFbR1_R2",0.0404140759439462,0.01,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Goblet_STEAP4+","SupraB_KRT16+","TGFB3","TGFbR1_R2",0.0134765847360383,0.02,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Basal_SERPINE2+","Basal_SERPINE2+","TGFB1","ACVR1B_TGFbR2",0.0956656251802272,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"Basal_SERPINE2+","Goblet_RARRES1+","TGFB1","ACVR1B_TGFbR2",0.0702653966390634,0.02,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"Basal_SERPINE2+","Basal_IGFBP6+","TGFB1","ACVR1B_TGFbR2",0.111074774900314,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"Goblet_STEAP4+","Goblet_STEAP4+","TGFB3","ACVR1B_TGFbR2",0.00816859037794236,0.03,"TGFB3_ACVR1B_TGFBR2","TGFB3 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"Goblet_STEAP4+","Club_DHRS9+","TGFB3","ACVR1B_TGFbR2",0.00985718190787922,0.02,"TGFB3_ACVR1B_TGFBR2","TGFB3 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"Goblet_STEAP4+","Basal_SERPINE2+","TGFB3","ACVR1B_TGFbR2",0.0227807271274341,0.01,"TGFB3_ACVR1B_TGFBR2","TGFB3 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"Goblet_STEAP4+","Goblet_RARRES1+","TGFB3","ACVR1B_TGFbR2",0.0166218123415536,0.01,"TGFB3_ACVR1B_TGFBR2","TGFB3 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
