Goblet_STEAP4+_n,Goblet_STEAP4+_l,Goblet_STEAP4+_p,Club_DHRS9+_n,Club_DHRS9+_l,Club_DHRS9+_p,iavEpi_n,iavEpi_l,iavEpi_p,Basal_SERPINE1+_n,Basal_SERPINE1+_l,Basal_SERPINE1+_p,Basal_SERPINE2+_n,Basal_SERPINE2+_l,Basal_SERPINE2+_p,Goblet_RARRES1+_n,Goblet_RARRES1+_l,Goblet_RARRES1+_p,iavAT2_lip_n,iavAT2_lip_l,iavAT2_lip_p,Basal_IGFBP6+_n,Basal_IGFBP6+_l,Basal_IGFBP6+_p,iavClub_SAA1+_n,iavClub_SAA1+_l,iavClub_SAA1+_p,SupraB_KRT16+_n,SupraB_KRT16+_l,SupraB_KRT16+_p
PIGR,4.295747,0.0,DHRS9,3.6793232,0.0,NC_026432.1,7.6826015,0.0,COL17A1,6.8402534,0.0,PMEPA1,5.915479,0.0,XBP1,2.2021482,6.895979787816599e-197,NC_026435.1,10.879411,0.0,S100A2,2.9564412,3.4488781152819483e-298,NC_026432.1,7.056618,3.816143691898003e-270,KRT6A,5.0967846,9.560349679035118e-122
BPIFB1,3.7308424,0.0,EPAS1,2.938041,0.0,NC_026433.1,7.4636035,0.0,LAMC2,6.5721765,0.0,CAVIN1,6.881378,0.0,BPIFB1,3.0027392,7.222461188586661e-197,NC_026438.1,10.415327,0.0,RPL23,1.1199709,2.1629876568947096e-277,NC_026436.1,6.761733,3.36793221000506e-258,PERP,1.8875762,8.725281932902251e-107
C3,3.1011903,0.0,GSN,1.8077494,0.0,NC_026436.1,7.3318377,0.0,LAMA3,6.9137506,0.0,SFN,4.878953,0.0,PIGR,3.4857922,2.154830982069445e-193,NC_026437.1,10.381505,0.0,KRT5,3.648566,4.594234121783854e-271,NC_026434.1,7.1820073,2.4894728370919063e-256,IL1RN,4.3527064,1.63048821207999e-105
CD74,2.6536512,0.0,IGFBP3,2.262553,0.0,NC_026431.1,7.1208296,0.0,ACTN1,4.9771705,0.0,SERPINE2,7.593634,0.0,PLEKHS1,3.4692106,3.21608583233103e-185,NC_026436.1,8.889252,0.0,RPL6,1.0096065,5.736239161319196e-252,NC_026433.1,6.843603,6.271658739509214e-256,KRT17,3.9560595,4.7214242714753113e-85
XBP1,2.5742886,0.0,FAM83A,2.175002,0.0,NC_026434.1,7.570934,0.0,SERPINE1,8.08365,0.0,LAMC2,6.2892222,0.0,CP,3.2630467,2.527769618576634e-176,NC_026431.1,8.817334,0.0,RPS8,0.95374244,1.5699047585977176e-243,NC_026431.1,6.483793,1.7072063869959833e-249,DSG3,5.1090894,5.0817722638160415e-84
CP,3.8692667,0.0,ID1,2.2225106,0.0,NC_026437.1,7.3135858,0.0,LAMB3,4.879089,0.0,BASP1,5.152047,0.0,LCN2,2.2963908,2.8647782510599794e-169,NC_026434.1,9.416614,0.0,KRT15,3.4665751,1.763569766033339e-240,NC_026437.1,6.803233,8.430956849095899e-247,KRT5,3.499279,5.2613676957859095e-83
STEAP4,4.4432335,0.0,B4GALT5,2.6105626,0.0,NC_026438.1,7.24698,0.0,MT2A,2.7262688,0.0,DST,5.820891,0.0,SLPI,1.9149737,3.5540713060301202e-161,NC_026433.1,8.733539,0.0,AQP3,2.648463,1.0755592684754163e-236,NC_026435.1,6.370066,8.591884202939959e-242,S100A16,2.16946,5.2613676957859095e-83
CYP4B1,3.9854424,0.0,GLUL,1.9459261,2.034344248248725e-295,NC_026435.1,6.9085097,0.0,CAVIN1,6.801414,0.0,TPM1,5.275254,0.0,SLC34A2,3.4598036,1.9091736735703253e-160,NC_026432.1,8.115645,0.0,RPL41,0.86146116,1.1310529865969959e-236,NC_026438.1,6.6461487,1.6665861662684237e-237,DSP,2.6956341,2.293231765530303e-82
SCNN1A,2.846596,0.0,OAS2,2.9214096,2.6715582759219e-293,MT-CO2,0.9911094,0.0,SFN,4.834375,0.0,ACTN1,4.7871056,0.0,CD74,2.088365,1.2705040707388303e-159,MTRNR2L12,2.4191957,0.0,IGFBP6,5.2159085,4.3338035420312656e-235,FTH1,1.3096125,2.372956533166787e-231,SERPINB5,4.167644,6.418012877650057e-80
SCGB3A1,3.208201,0.0,KRT19,1.1571906,1.1409021608342859e-288,MT-CO3,1.0017956,0.0,KRT17,4.599181,0.0,LAMB3,4.693401,0.0,RARRES1,3.864457,3.7383998291459183e-159,CNBD1,7.4135623,0.0,RPS29,0.87015,2.855470647083013e-231,CXCL8,3.9665954,1.5331077245625074e-191,MT1X,1.8324585,7.207884288383103e-80
