"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"immuneBrush-Club","MultiC_OMG+","TGFB2","ACVR1B_TGFbR2",0.0192309636810588,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"AT2_IL32+","MultiC_OMG+","TGFB2","ACVR1B_TGFbR2",0.0351039612944963,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"Brush-Club_TCN1+","MultiC_OMG+","TGFB2","ACVR1B_TGFbR2",0.0366736071648387,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"Ciliated_FOXN4+","MultiC_OMG+","TGFB2","ACVR1B_TGFbR2",0.0164441702711618,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"AT2_IL32+","immuneBrush-Club","TGFB2","ACVR1B_TGFbR2",0.0215288973069832,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"Brush-Club_TCN1+","immuneBrush-Club","TGFB2","ACVR1B_TGFbR2",0.0223492818856899,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"AT2_IL32+","AT2_IL32+","TGFB2","ACVR1B_TGFbR2",0.0196691665460416,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"Brush-Club_TCN1+","AT2_IL32+","TGFB2","ACVR1B_TGFbR2",0.0204394946335341,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"immuneBrush-Club","Brush-Club_TCN1+","TGFB2","ACVR1B_TGFbR2",0.0254846402191058,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"AT2_IL32+","Brush-Club_TCN1+","TGFB2","ACVR1B_TGFbR2",0.0463457228891732,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
