"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"immuneBrush-Club","MultiC_OMG+","TGFB2","ACVR1B_TGFbR2",0.015830177321134,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"AT2_IL32+","MultiC_OMG+","TGFB2","ACVR1B_TGFbR2",0.0427109903311257,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"Brush-Club_TCN1+","MultiC_OMG+","TGFB2","ACVR1B_TGFbR2",0.047615237939845,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"iavEpi_OAS","MultiC_OMG+","TGFB2","ACVR1B_TGFbR2",0.0151483295000735,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"immuneBrush-Club","immuneBrush-Club","TGFB2","ACVR1B_TGFbR2",0.0105435316743875,0.02,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"AT2_IL32+","immuneBrush-Club","TGFB2","ACVR1B_TGFbR2",0.0288776130432769,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"Brush-Club_TCN1+","immuneBrush-Club","TGFB2","ACVR1B_TGFbR2",0.0321058670254724,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"AT2_IL32+","AT2_IL32+","TGFB2","ACVR1B_TGFbR2",0.0244630677319157,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"Brush-Club_TCN1+","AT2_IL32+","TGFB2","ACVR1B_TGFbR2",0.0271846453511691,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"immuneBrush-Club","Brush-Club_TCN1+","TGFB2","ACVR1B_TGFbR2",0.020081420145556,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
