"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"SERPINE2+Basal","IGFBP6+Basal","TGFB1","TGFbR1_R2",0.190026437101362,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"CCDC3+Basal1","IGFBP6+Basal","TGFB1","TGFbR1_R2",0.163422210177908,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"FB-like_Basal","IGFBP6+Basal","TGFB1","TGFbR1_R2",0.182289515679432,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"IGFBP+Basal","IGFBP6+Basal","TGFB1","TGFbR1_R2",0.155228339058051,0.02,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"SERPINE2+Basal","SERPINE2+Basal","TGFB1","TGFbR1_R2",0.414718516090619,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"CCDC3+Basal1","SERPINE2+Basal","TGFB1","TGFbR1_R2",0.355846173345854,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"FB-like_Basal","SERPINE2+Basal","TGFB1","TGFbR1_R2",0.397028190427394,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"IGFBP+Basal","SERPINE2+Basal","TGFB1","TGFbR1_R2",0.339270541542909,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"ifn_Basal","SERPINE2+Basal","TGFB1","TGFbR1_R2",0.330132814231987,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"SERPINE2+Basal","CCDC3+Basal1","TGFB1","TGFbR1_R2",0.209078031536689,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
