"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"SERPINE1+Basal","SERPINE1+Basal","TGFB1","TGFbR1_R2",0.312607651492195,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"SERPINE2+Basal","SERPINE1+Basal","TGFB1","TGFbR1_R2",0.281112710029426,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"CCDC3+Basal1","SERPINE1+Basal","TGFB1","TGFbR1_R2",0.259922635954012,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"FB-like_Basal","SERPINE1+Basal","TGFB1","TGFbR1_R2",0.286984525364056,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"IGFBP+Basal","SERPINE1+Basal","TGFB1","TGFbR1_R2",0.295992100163562,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"ifn_Basal","SERPINE1+Basal","TGFB1","TGFbR1_R2",0.281497932159703,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"SERPINE1+Basal","SERPINE2+Basal","TGFB1","TGFbR1_R2",0.492001341023119,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"SERPINE2+Basal","SERPINE2+Basal","TGFB1","TGFbR1_R2",0.444387079576152,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"CCDC3+Basal1","SERPINE2+Basal","TGFB1","TGFbR1_R2",0.408943049947956,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"FB-like_Basal","SERPINE2+Basal","TGFB1","TGFbR1_R2",0.451921148379337,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"IGFBP+Basal","SERPINE2+Basal","TGFB1","TGFbR1_R2",0.466828663808252,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"ifn_Basal","SERPINE2+Basal","TGFB1","TGFbR1_R2",0.441694587725818,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
