"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"SERPINE2+Basal","SERPINE2+Basal","TGFB1","TGFbR1_R2",0.161534534210458,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"CCDC3+Basal1","SERPINE2+Basal","TGFB1","TGFbR1_R2",0.2287829654643,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"FB-like_Basal","SERPINE2+Basal","TGFB1","TGFbR1_R2",0.248507545693262,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"IGFBP+Basal","SERPINE2+Basal","TGFB1","TGFbR1_R2",0.204723593322905,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"MKI67+pBasal","SERPINE2+Basal","TGFB1","TGFbR1_R2",0.087875160627152,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"NOTCH3+SupraB","SERPINE2+Basal","TGFB1","TGFbR1_R2",0.05981873024562,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"S100A2+Basal","SERPINE2+Basal","TGFB1","TGFbR1_R2",0.0591154526093159,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"TNC+Basal","SERPINE2+Basal","TGFB1","TGFbR1_R2",0.0866613078554061,0.03,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"SERPINE2+Basal","CCDC3+Basal1","TGFB1","TGFbR1_R2",0.140265216371736,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"CCDC3+Basal1","CCDC3+Basal1","TGFB1","TGFbR1_R2",0.198509199338761,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"FB-like_Basal","CCDC3+Basal1","TGFB1","TGFbR1_R2",0.215772904931993,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"IGFBP+Basal","CCDC3+Basal1","TGFB1","TGFbR1_R2",0.176705339067469,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
