group1,group2,meandiff,p-adj,lower,upper,reject
Basal_3,Basal_8,-1092.25,0.8141,-2990.4542,805.9542,False
Basal_3,Club_1,238.5,1.0,-1659.7042,2136.7042,False
Basal_3,Club_18,-2164.5,0.0112,-4062.7042,-266.2958,True
Basal_3,Club_9,-1116.0,0.7879,-3014.2042,782.2042,False
Basal_3,Goblet_0,450.5,1.0,-1447.7042,2348.7042,False
Basal_3,Goblet_6,-844.5,0.976,-2742.7042,1053.7042,False
Basal_3,Goblet_7,-958.75,0.9267,-2856.9542,939.4542,False
Basal_3,Mixed_11,-1257.75,0.6064,-3155.9542,640.4542,False
Basal_3,Mixed_12,-1390.5,0.4269,-3288.7042,507.7042,False
Basal_3,Mixed_13,-1590.0,0.2107,-3488.2042,308.2042,False
Basal_3,Mixed_16,-2098.0,0.0166,-3996.2042,-199.7958,True
Basal_3,Mixed_17,-2101.0,0.0163,-3999.2042,-202.7958,True
Basal_3,MultiC_10,-1139.0,0.7611,-3037.2042,759.2042,False
Basal_3,SupraB_14,-1668.25,0.1516,-3566.4542,229.9542,False
Basal_3,SupraB_15,-2010.25,0.0273,-3908.4542,-112.0458,True
Basal_3,SupraB_2,219.75,1.0,-1678.4542,2117.9542,False
Basal_3,SupraB_4,-10.5,1.0,-1908.7042,1887.7042,False
Basal_3,SupraB_5,-779.0,0.9893,-2677.2042,1119.2042,False
Basal_8,Club_1,1330.75,0.5062,-567.4542,3228.9542,False
Basal_8,Club_18,-1072.25,0.8348,-2970.4542,825.9542,False
Basal_8,Club_9,-23.75,1.0,-1921.9542,1874.4542,False
Basal_8,Goblet_0,1542.75,0.2536,-355.4542,3440.9542,False
Basal_8,Goblet_6,247.75,1.0,-1650.4542,2145.9542,False
Basal_8,Goblet_7,133.5,1.0,-1764.7042,2031.7042,False
Basal_8,Mixed_11,-165.5,1.0,-2063.7042,1732.7042,False
Basal_8,Mixed_12,-298.25,1.0,-2196.4542,1599.9542,False
Basal_8,Mixed_13,-497.75,1.0,-2395.9542,1400.4542,False
Basal_8,Mixed_16,-1005.75,0.8941,-2903.9542,892.4542,False
Basal_8,Mixed_17,-1008.75,0.8917,-2906.9542,889.4542,False
Basal_8,MultiC_10,-46.75,1.0,-1944.9542,1851.4542,False
Basal_8,SupraB_14,-576.0,0.9997,-2474.2042,1322.2042,False
Basal_8,SupraB_15,-918.0,0.9488,-2816.2042,980.2042,False
Basal_8,SupraB_2,1312.0,0.5318,-586.2042,3210.2042,False
Basal_8,SupraB_4,1081.75,0.8251,-816.4542,2979.9542,False
Basal_8,SupraB_5,313.25,1.0,-1584.9542,2211.4542,False
Club_1,Club_18,-2403.0,0.0025,-4301.2042,-504.7958,True
Club_1,Club_9,-1354.5,0.4742,-3252.7042,543.7042,False
