"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"SupraB_2","Basal_3","TGFB1","TGFbR1_R2",0.0484146594215067,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Basal_3","Basal_3","TGFB1","TGFbR1_R2",0.185344473594202,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"SupraB_4","Basal_3","TGFB1","TGFbR1_R2",0.20971251356655,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"SupraB_5","Basal_3","TGFB1","TGFbR1_R2",0.203499297034045,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Basal_8","Basal_3","TGFB1","TGFbR1_R2",0.229679560013908,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Club_9","Basal_3","TGFB1","TGFbR1_R2",0.0396811708703568,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Mixed_13","Basal_3","TGFB1","TGFbR1_R2",0.211927776860327,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"SupraB_14","Basal_3","TGFB1","TGFbR1_R2",0.0432899784867313,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"SupraB_15","Basal_3","TGFB1","TGFbR1_R2",0.0725988914150303,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Mixed_16","Basal_3","TGFB1","TGFbR1_R2",0.0617985245786736,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"SupraB_2","SupraB_4","TGFB1","TGFbR1_R2",0.0629228424726267,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Basal_3","SupraB_4","TGFB1","TGFbR1_R2",0.239121284270771,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"SupraB_4","SupraB_4","TGFB1","TGFbR1_R2",0.270550274192683,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"SupraB_5","SupraB_4","TGFB1","TGFbR1_R2",0.262768074021196,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Basal_8","SupraB_4","TGFB1","TGFbR1_R2",0.296131535010827,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Club_9","SupraB_4","TGFB1","TGFbR1_R2",0.0515852376856564,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Mixed_13","SupraB_4","TGFB1","TGFbR1_R2",0.273454607154219,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"SupraB_14","SupraB_4","TGFB1","TGFbR1_R2",0.0562835827369982,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"SupraB_15","SupraB_4","TGFB1","TGFbR1_R2",0.0943005388468635,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Mixed_16","SupraB_4","TGFB1","TGFbR1_R2",0.0803327391619368,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"SupraB_2","SupraB_5","TGFB1","TGFbR1_R2",0.058176568401929,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Basal_3","SupraB_5","TGFB1","TGFbR1_R2",0.222581869019023,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"SupraB_4","SupraB_5","TGFB1","TGFbR1_R2",0.251844958707089,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"SupraB_5","SupraB_5","TGFB1","TGFbR1_R2",0.244401288487198,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Basal_8","SupraB_5","TGFB1","TGFbR1_R2",0.275809878485672,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Club_9","SupraB_5","TGFB1","TGFbR1_R2",0.0476831151874841,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Mixed_13","SupraB_5","TGFB1","TGFbR1_R2",0.254508825862037,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"SupraB_14","SupraB_5","TGFB1","TGFbR1_R2",0.0520201815119482,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"SupraB_15","SupraB_5","TGFB1","TGFbR1_R2",0.0872330490532329,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Mixed_16","SupraB_5","TGFB1","TGFbR1_R2",0.0742601959000126,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Basal_3","Goblet_7","TGFB1","TGFbR1_R2",0.0553071683106364,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"SupraB_4","Goblet_7","TGFB1","TGFbR1_R2",0.0625852241098057,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"SupraB_5","Goblet_7","TGFB1","TGFbR1_R2",0.0605666509916587,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Basal_8","Goblet_7","TGFB1","TGFbR1_R2",0.0686702809900313,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Mixed_13","Goblet_7","TGFB1","TGFbR1_R2",0.0632135626998603,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"SupraB_2","Basal_8","TGFB1","TGFbR1_R2",0.0530320871429829,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Basal_3","Basal_8","TGFB1","TGFbR1_R2",0.203680260883219,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
