"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"SupraB_2","Basal_3","TGFB1","TGFbR1_R2",0.0477452512470524,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Basal_3","Basal_3","TGFB1","TGFbR1_R2",0.0836966070637377,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"SupraB_4","Basal_3","TGFB1","TGFbR1_R2",0.210992935814908,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"SupraB_5","Basal_3","TGFB1","TGFbR1_R2",0.0860612158614209,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Basal_8","Basal_3","TGFB1","TGFbR1_R2",0.204072115552586,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Club_9","Basal_3","TGFB1","TGFbR1_R2",0.0470064819829395,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Mixed_13","Basal_3","TGFB1","TGFbR1_R2",0.17274619293858,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"SupraB_14","Basal_3","TGFB1","TGFbR1_R2",0.0429902951423839,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"SupraB_15","Basal_3","TGFB1","TGFbR1_R2",0.0779417698478116,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Mixed_16","Basal_3","TGFB1","TGFbR1_R2",0.0652596720169027,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"SupraB_2","SupraB_4","TGFB1","TGFbR1_R2",0.0537731556861466,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Basal_3","SupraB_4","TGFB1","TGFbR1_R2",0.0942161228316847,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"SupraB_4","SupraB_4","TGFB1","TGFbR1_R2",0.235981429193341,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"SupraB_5","SupraB_4","TGFB1","TGFbR1_R2",0.09688480355156,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Basal_8","SupraB_4","TGFB1","TGFbR1_R2",0.228170455981612,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Club_9","SupraB_4","TGFB1","TGFbR1_R2",0.0529426408268668,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Mixed_13","SupraB_4","TGFB1","TGFbR1_R2",0.193350136172852,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"SupraB_14","SupraB_4","TGFB1","TGFbR1_R2",0.0484346125326363,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"SupraB_15","SupraB_4","TGFB1","TGFbR1_R2",0.0877387216765778,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Mixed_16","SupraB_4","TGFB1","TGFbR1_R2",0.0734918340310089,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"SupraB_2","SupraB_5","TGFB1","TGFbR1_R2",0.04975276443562,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Basal_3","SupraB_5","TGFB1","TGFbR1_R2",0.0872169194970279,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"SupraB_4","SupraB_5","TGFB1","TGFbR1_R2",0.219905715141427,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"SupraB_5","SupraB_5","TGFB1","TGFbR1_R2",0.0896808136784377,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Basal_8","SupraB_5","TGFB1","TGFbR1_R2",0.21269432324199,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Club_9","SupraB_5","TGFB1","TGFbR1_R2",0.0489828947205939,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Mixed_13","SupraB_5","TGFB1","TGFbR1_R2",0.180039694247891,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"SupraB_14","SupraB_5","TGFB1","TGFbR1_R2",0.0447974640577866,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"SupraB_15","SupraB_5","TGFB1","TGFbR1_R2",0.0812200131324596,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Mixed_16","SupraB_5","TGFB1","TGFbR1_R2",0.0680037756145458,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"SupraB_4","Goblet_7","TGFB1","TGFbR1_R2",0.0720711468421758,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Basal_8","Goblet_7","TGFB1","TGFbR1_R2",0.0697160965054939,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
