"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Basal_SERPINE2+","Basal_SERPINE2+","TGFB1","TGFbR1_R2",0.434764333670411,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Basal_IGFBP6+","Basal_SERPINE2+","TGFB1","TGFbR1_R2",0.142237006127385,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"SupraB_KRT16+","Basal_SERPINE2+","TGFB1","TGFbR1_R2",0.297495430598347,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Basal_SERPINE2+","Basal_IGFBP6+","TGFB1","TGFbR1_R2",0.200184057871799,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"SupraB_KRT16+","Basal_IGFBP6+","TGFB1","TGFbR1_R2",0.136796052529367,0.04,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Basal_SERPINE2+","SupraB_KRT16+","TGFB1","TGFbR1_R2",0.174394184176797,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Goblet_STEAP4+","Basal_SERPINE2+","TGFB2","TGFbR1_R2",0.273213986251431,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Club_DHRS9+","Basal_SERPINE2+","TGFB2","TGFbR1_R2",0.277607583816682,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Basal_SERPINE1+","Basal_SERPINE2+","TGFB2","TGFbR1_R2",0.382761390227316,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Goblet_RARRES1+","Basal_SERPINE2+","TGFB2","TGFbR1_R2",0.330596786965759,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Basal_IGFBP6+","Basal_SERPINE2+","TGFB2","TGFbR1_R2",0.409484794876982,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"iavClub_SAA1+","Basal_SERPINE2+","TGFB2","TGFbR1_R2",0.260109549414389,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Club_DHRS9+","Basal_SERPINE2+","TGFB3","TGFbR1_R2",0.071297340664892,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Club_DHRS9+","Basal_IGFBP6+","TGFB3","TGFbR1_R2",0.0314898521458504,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Club_DHRS9+","SupraB_KRT16+","TGFB3","TGFbR1_R2",0.0274836789853718,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Basal_SERPINE2+","Goblet_STEAP4+","TGFB1","ACVR1B_TGFbR2",0.11101291854406,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"Basal_SERPINE2+","Club_DHRS9+","TGFB1","ACVR1B_TGFbR2",0.130290586193932,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"Basal_SERPINE2+","Basal_SERPINE2+","TGFB1","ACVR1B_TGFbR2",0.254103978502481,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
