"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"immuneBrush-Club","MultiC_OMG+","TGFB2","ACVR1B_TGFbR2",0.0465997312834627,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"AT2_IL32+","MultiC_OMG+","TGFB2","ACVR1B_TGFbR2",0.0517523381624516,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"Brush-Club_TCN1+","MultiC_OMG+","TGFB2","ACVR1B_TGFbR2",0.0563951321033212,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"AT2_IL32+","immuneBrush-Club","TGFB2","ACVR1B_TGFbR2",0.0326187250470947,0.02,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"Brush-Club_TCN1+","immuneBrush-Club","TGFB2","ACVR1B_TGFbR2",0.0354344891731352,0.03,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"immuneBrush-Club","Brush-Club_TCN1+","TGFB2","ACVR1B_TGFbR2",0.0538856528689607,0.01,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"AT2_IL32+","Brush-Club_TCN1+","TGFB2","ACVR1B_TGFbR2",0.0598293240160283,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"Brush-Club_TCN1+","Brush-Club_TCN1+","TGFB2","ACVR1B_TGFbR2",0.0652065077675097,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"AT2_IL32+","AT2_IL32+","BMP4","BMPR1A_ACVR2A",0.00443871599931428,0.01,"BMP4_BMPR1A_ACVR2A","BMP4 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Brush-Club_TCN1+","AT2_IL32+","BMP4","BMPR1A_ACVR2A",0.00431629215490546,0.04,"BMP4_BMPR1A_ACVR2A","BMP4 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"AT2_IL32+","AT2_IL32+","BMP4","BMPR1B_ACVR2A",0.00452436577407247,0.02,"BMP4_BMPR1B_ACVR2A","BMP4 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"immuneBrush-Club","immuneBrush-Club","BMP4","BMPR1B_BMPR2",0.011075012819209,0,"BMP4_BMPR1B_BMPR2","BMP4 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"AT2_IL32+","immuneBrush-Club","BMP4","BMPR1B_BMPR2",0.01232500921046,0,"BMP4_BMPR1B_BMPR2","BMP4 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Brush-Club_TCN1+","immuneBrush-Club","BMP4","BMPR1B_BMPR2",0.0120127277395756,0,"BMP4_BMPR1B_BMPR2","BMP4 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"AT2_IL32+","Brush-Club_TCN1+","BMP4","BMPR1B_BMPR2",0.00910828688363124,0.02,"BMP4_BMPR1B_BMPR2","BMP4 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"AT2_IL32+","immuneBrush-Club","GDF15","TGFBR2",0.0872337375789815,0.04,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"immuneBrush-Club","AT2_IL32+","GDF15","TGFBR2",0.0899086848681577,0.01,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"AT2_IL32+","AT2_IL32+","GDF15","TGFBR2",0.0945075856476647,0.01,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"Brush-Club_TCN1+","AT2_IL32+","GDF15","TGFBR2",0.0878655845987279,0.03,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"MultiC_OMG+","Brush-Club_TCN1+","GDF15","TGFBR2",0.180398693589224,0.02,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"immuneBrush-Club","Brush-Club_TCN1+","GDF15","TGFBR2",0.204356083766986,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"AT2_IL32+","Brush-Club_TCN1+","GDF15","TGFBR2",0.213436152395385,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"Brush-Club_TCN1+","Brush-Club_TCN1+","GDF15","TGFBR2",0.200284604553739,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"Ciliated_FOXN4+","Brush-Club_TCN1+","GDF15","TGFBR2",0.170754949911601,0.02,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"iavEpi_OAS","Brush-Club_TCN1+","GDF15","TGFBR2",0.188009901206388,0.01,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"MultiC_OMG+","MultiC_OMG+","INHBB","ACVR1B_ACVR2A",0.0221779771425763,0,"INHBB_ACVR1B_ACVR2A","INHBB - (ACVR1B+ACVR2A)","ACTIVIN","Secreted Signaling","KEGG: hsa04352"
"immuneBrush-Club","MultiC_OMG+","INHBB","ACVR1B_ACVR2A",0.0210930795065325,0,"INHBB_ACVR1B_ACVR2A","INHBB - (ACVR1B+ACVR2A)","ACTIVIN","Secreted Signaling","KEGG: hsa04352"
"AT2_IL32+","MultiC_OMG+","INHBB","ACVR1B_ACVR2A",0.0247602540109501,0,"INHBB_ACVR1B_ACVR2A","INHBB - (ACVR1B+ACVR2A)","ACTIVIN","Secreted Signaling","KEGG: hsa04352"
"Brush-Club_TCN1+","MultiC_OMG+","INHBB","ACVR1B_ACVR2A",0.0202102056334541,0,"INHBB_ACVR1B_ACVR2A","INHBB - (ACVR1B+ACVR2A)","ACTIVIN","Secreted Signaling","KEGG: hsa04352"
"MultiC_OMG+","AT2_IL32+","INHBB","ACVR1B_ACVR2A",0.0147389314183855,0.02,"INHBB_ACVR1B_ACVR2A","INHBB - (ACVR1B+ACVR2A)","ACTIVIN","Secreted Signaling","KEGG: hsa04352"
"AT2_IL32+","AT2_IL32+","INHBB","ACVR1B_ACVR2A",0.0164696372235607,0.02,"INHBB_ACVR1B_ACVR2A","INHBB - (ACVR1B+ACVR2A)","ACTIVIN","Secreted Signaling","KEGG: hsa04352"
"Brush-Club_TCN1+","Brush-Club_TCN1+","WNT4","FZD3_LRP5",0.00455410396372182,0.04,"WNT4_FZD3_LRP5","WNT4 - (FZD3+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Brush-Club_TCN1+","Ciliated_FOXN4+","WNT4","FZD3_LRP5",0.00460119560478138,0.02,"WNT4_FZD3_LRP5","WNT4 - (FZD3+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Brush-Club_TCN1+","MultiC_OMG+","WNT4","FZD6_LRP5",0.00483681089353638,0.03,"WNT4_FZD6_LRP5","WNT4 - (FZD6+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Brush-Club_TCN1+","immuneBrush-Club","WNT4","FZD6_LRP5",0.00536465897940517,0,"WNT4_FZD6_LRP5","WNT4 - (FZD6+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Ciliated_FOXN4+","immuneBrush-Club","WNT4","FZD6_LRP5",0.00527428903860455,0.01,"WNT4_FZD6_LRP5","WNT4 - (FZD6+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
