"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"AT2_IL32+","MultiC_OMG+","TGFB2","ACVR1B_TGFbR2",0.0331472190230504,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"Brush-Club_TCN1+","MultiC_OMG+","TGFB2","ACVR1B_TGFbR2",0.0389066240943603,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"AT2_IL32+","immuneBrush-Club","TGFB2","ACVR1B_TGFbR2",0.0275436174840811,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"Brush-Club_TCN1+","immuneBrush-Club","TGFB2","ACVR1B_TGFbR2",0.0322282323775393,0.01,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"AT2_IL32+","AT2_IL32+","TGFB2","ACVR1B_TGFbR2",0.0219705107744514,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"Brush-Club_TCN1+","AT2_IL32+","TGFB2","ACVR1B_TGFbR2",0.02572318911843,0.02,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"AT2_IL32+","Brush-Club_TCN1+","TGFB2","ACVR1B_TGFbR2",0.0267186554395139,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"Brush-Club_TCN1+","Brush-Club_TCN1+","TGFB2","ACVR1B_TGFbR2",0.0312721098794608,0.02,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"AT2_IL32+","Ciliated_FOXN4+","TGFB2","ACVR1B_TGFbR2",0.0269661711148502,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"Brush-Club_TCN1+","Ciliated_FOXN4+","TGFB2","ACVR1B_TGFbR2",0.0315408063592689,0.01,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"AT2_IL32+","immuneBrush-Club","BMP2","BMPR1B_ACVR2A",0.00393091199525788,0,"BMP2_BMPR1B_ACVR2A","BMP2 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"AT2_IL32+","AT2_IL32+","BMP2","BMPR1B_ACVR2A",0.00328240268861057,0,"BMP2_BMPR1B_ACVR2A","BMP2 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"AT2_IL32+","Brush-Club_TCN1+","BMP2","BMPR1B_ACVR2A",0.00431377597872273,0,"BMP2_BMPR1B_ACVR2A","BMP2 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"AT2_IL32+","MultiC_OMG+","BMP2","BMPR1B_BMPR2",0.00632987455440571,0,"BMP2_BMPR1B_BMPR2","BMP2 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"AT2_IL32+","immuneBrush-Club","BMP2","BMPR1B_BMPR2",0.0072407815026826,0,"BMP2_BMPR1B_BMPR2","BMP2 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"AT2_IL32+","AT2_IL32+","BMP2","BMPR1B_BMPR2",0.00655153207649722,0,"BMP2_BMPR1B_BMPR2","BMP2 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"AT2_IL32+","Brush-Club_TCN1+","BMP2","BMPR1B_BMPR2",0.00841495217654471,0,"BMP2_BMPR1B_BMPR2","BMP2 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"AT2_IL32+","Ciliated_FOXN4+","BMP2","BMPR1B_BMPR2",0.00657506008370541,0,"BMP2_BMPR1B_BMPR2","BMP2 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"immuneBrush-Club","immuneBrush-Club","BMP4","BMPR1B_ACVR2A",0.0044674687837516,0,"BMP4_BMPR1B_ACVR2A","BMP4 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"AT2_IL32+","immuneBrush-Club","BMP4","BMPR1B_ACVR2A",0.00382193995125557,0.01,"BMP4_BMPR1B_ACVR2A","BMP4 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"immuneBrush-Club","AT2_IL32+","BMP4","BMPR1B_ACVR2A",0.00373042250638735,0.02,"BMP4_BMPR1B_ACVR2A","BMP4 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"MultiC_OMG+","Brush-Club_TCN1+","BMP4","BMPR1B_ACVR2A",0.00373400279658939,0.03,"BMP4_BMPR1B_ACVR2A","BMP4 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"immuneBrush-Club","Brush-Club_TCN1+","BMP4","BMPR1B_ACVR2A",0.00490261726683565,0,"BMP4_BMPR1B_ACVR2A","BMP4 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"AT2_IL32+","Brush-Club_TCN1+","BMP4","BMPR1B_ACVR2A",0.00419424736206658,0,"BMP4_BMPR1B_ACVR2A","BMP4 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"immuneBrush-Club","MultiC_OMG+","BMP4","BMPR1B_BMPR2",0.00719455350204051,0.03,"BMP4_BMPR1B_BMPR2","BMP4 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"immuneBrush-Club","immuneBrush-Club","BMP4","BMPR1B_BMPR2",0.00822991734261539,0,"BMP4_BMPR1B_BMPR2","BMP4 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"immuneBrush-Club","AT2_IL32+","BMP4","BMPR1B_BMPR2",0.00744657336482552,0,"BMP4_BMPR1B_BMPR2","BMP4 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"MultiC_OMG+","Brush-Club_TCN1+","BMP4","BMPR1B_BMPR2",0.00729603979044766,0.03,"BMP4_BMPR1B_BMPR2","BMP4 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"immuneBrush-Club","Brush-Club_TCN1+","BMP4","BMPR1B_BMPR2",0.00956470037061687,0,"BMP4_BMPR1B_BMPR2","BMP4 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"AT2_IL32+","Brush-Club_TCN1+","BMP4","BMPR1B_BMPR2",0.00818428713347657,0,"BMP4_BMPR1B_BMPR2","BMP4 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"immuneBrush-Club","Ciliated_FOXN4+","BMP4","BMPR1B_BMPR2",0.00747334496686588,0.01,"BMP4_BMPR1B_BMPR2","BMP4 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"AT2_IL32+","MultiC_OMG+","GDF15","TGFBR2",0.0860713753298283,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"AT2_IL32+","immuneBrush-Club","GDF15","TGFBR2",0.0844014759421035,0.02,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"MultiC_OMG+","AT2_IL32+","GDF15","TGFBR2",0.0833224408507661,0.03,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
