0_n,0_l,0_p,1_n,1_l,1_p,2_n,2_l,2_p,3_n,3_l,3_p,4_n,4_l,4_p,5_n,5_l,5_p
ALDH3B1,3.1600327,0.0,SERPINB3,4.0939007,4.615562754597032e-171,CDKN1A,1.0006472,4.19445336234302e-118,CRABP2,4.9311147,4.994459863579963e-170,CDC20B,10.895709,1.2503056446362842e-257,NC_026436.1,9.600366,2.860146828012327e-211
LDLRAD1,3.0103621,0.0,WFDC2,1.5962611,4.615562754597032e-171,PLAU,4.435021,1.0132379395776761e-101,MT1X,3.2717373,9.350568859156582e-159,TUBA1B,2.9584162,7.989591234186302e-230,NC_026431.1,9.178522,2.860146828012327e-211
TPPP3,2.217372,0.0,CXCL17,2.8179955,1.8001251857141187e-160,GADD45A,2.3927643,2.8654092941798886e-101,LDHA,2.9147503,1.686438517294979e-154,CDK1,7.454375,1.713330630049804e-221,NC_026432.1,10.16821,2.2446950107146003e-210
FAM216B,3.325563,0.0,SLPI,1.5963138,2.881865325465091e-156,TNFRSF12A,3.2468266,2.1970797954991535e-92,GRN,3.1995964,2.6270780598594278e-145,BTG3,4.749447,6.55556107173635e-204,NC_026434.1,10.102953,3.142742495666269e-209
RSPH1,2.207991,0.0,BPIFB1,3.1643026,6.218591628782138e-148,EIF1,0.76286334,7.53288309206918e-91,CTSC,3.9190502,9.792997386380283e-145,CCNO,6.1618953,1.5397463032429988e-198,NC_026433.1,9.412123,4.5843319223742555e-207
SNTN,2.8124285,0.0,SCGB3A1,2.9393144,2.5773706787467973e-147,SQSTM1,1.482664,2.7679048955953702e-90,SERPINB3,4.6300197,1.6273560909043365e-142,ENO1,1.9821112,1.905510208147277e-198,NC_026435.1,9.734965,2.9116173558086467e-204
CAPS,1.9996526,0.0,AGR2,2.0239527,1.3363309359594433e-141,CDKN2B,3.4473946,8.524832354717837e-88,FAM83A,4.389714,1.34629713998511e-138,CEP78,6.350083,7.555348824864682e-190,NC_026438.1,9.864175,1.8577644236020036e-201
TSPAN1,1.2170938,0.0,CTSC,3.282597,1.7148011513129347e-136,SFN,2.5077617,3.6330135402233976e-85,CXCL17,2.9562483,6.46740034186178e-134,H2AFZ,2.2227821,2.478889700233307e-188,NC_026437.1,9.9786825,3.471548959378419e-201
RSPH4A,2.6116393,0.0,CEACAM6,3.845211,8.254979543877391e-131,IL32,3.960292,2.5671588022588023e-79,SPINT1,2.1469302,1.6823413938585171e-133,KDELC2,7.601758,5.232233166802152e-186,IFI6,2.8313715,4.571991254884494e-96
PIFO,1.8454262,0.0,CP,3.134299,7.489707889477955e-122,SLC3A2,2.7583911,4.616631447777585e-77,TPT1,1.0195464,2.325879045299732e-124,PLK4,8.92606,1.1495138889066927e-185,GPR158,8.063311,2.177279274227291e-83
DZIP3,3.2332766,0.0,SELENOP,3.031541,1.7008330998383925e-119,SOX4,2.3277488,2.520343511674511e-76,PKM,0.819786,3.0801394719427233e-118,PSIP1,3.6260467,2.2786117300646932e-173,IFI27,3.479444,2.731973110183017e-75
