0_n,0_l,0_p,1_n,1_l,1_p,2_n,2_l,2_p,3_n,3_l,3_p,4_n,4_l,4_p,5_n,5_l,5_p,6_n,6_l,6_p
SERPINB1,3.7159593,0.0,H2AFZ,3.087485,0.0,ITGB6,2.5906456,0.0,TPT1,0.55308044,0.0,DST,1.8942451,0.0,IFIT1,6.926394,0.0,MALAT1,2.5238557,0.0
SERPINB3,4.7189717,0.0,HMGB1,1.7755435,0.0,PSAP,1.2888625,0.0,SH3BGRL3,0.87309283,0.0,ALDH3A1,2.2008088,0.0,IFI6,5.0950947,0.0,MT-ND5,0.9277663,9.286923633321025e-272
DHRS9,4.0419846,0.0,TUBA1B,3.1000428,0.0,IGFBP7,1.3701432,0.0,RPL31,0.52268,0.0,TNFRSF21,1.160512,0.0,ISG15,6.9242625,0.0,MT-ND2,0.7499479,7.764971582480411e-261
SERPINB13,2.940855,0.0,HMGN2,2.4594562,0.0,PMEPA1,3.7134278,0.0,RPL32,0.52103627,0.0,IGFBP3,1.3876618,0.0,IFIT3,6.2905006,0.0,MT-ND4,0.8252454,5.417734661564631e-255
CLDN7,3.3086894,0.0,STMN1,6.416546,0.0,TINAGL1,1.5349238,0.0,RPS20,0.5094392,0.0,WNT10A,2.485391,0.0,MX1,6.415948,0.0,LAMC2,2.0199375,8.692352088947943e-244
CXCL17,3.4145653,0.0,DEK,3.1248348,0.0,APP,1.1545672,0.0,EEF1A1,0.40616903,0.0,KRT15,1.4551971,0.0,STAT1,3.6643615,0.0,MT-ND4L,0.8023167,7.1182750148186e-243
SERPINB4,4.884736,0.0,PTMA,1.0484374,0.0,MMP2,3.6462164,0.0,RPL34,0.4893705,0.0,COL17A1,1.8323653,0.0,DDX58,6.013747,0.0,APP,0.732985,1.2003004859070231e-223
ANXA1,1.3468865,0.0,SMC4,5.3342757,0.0,TRAM1,1.4411824,0.0,TMSB10,0.6413701,0.0,ITGA6,1.5489237,0.0,IFIT2,7.6551714,0.0,MT-CYB,0.666247,2.0205838237496436e-223
CLCA4,3.1744008,0.0,HNRNPA2B1,1.116511,0.0,MYL9,3.7639883,0.0,RPS8,0.46604484,0.0,CCDC3,1.9588627,0.0,XAF1,5.307279,0.0,MYH9,0.9979791,4.673567139546675e-217
CSTA,1.6648868,0.0,TYMS,6.4523354,0.0,ACTN1,1.7310363,0.0,RPL23,0.48029166,0.0,OLFML2A,2.1428654,0.0,MX2,6.712268,0.0,MT-ATP6,0.6118054,1.4365656812379653e-209
TCN1,4.2071013,0.0,TOP2A,8.874803,0.0,CDH3,1.5341078,0.0,RPLP1,0.4756049,0.0,JAG2,2.0972855,0.0,IFI44L,6.3872876,0.0,APLP2,0.4133728,1.680479852924144e-206
SAT1,1.5353061,0.0,HMGB2,6.297926,0.0,VIM,4.3832216,0.0,RPL12,0.5476437,0.0,APLP2,0.6590816,0.0,OAS1,5.408118,0.0,MT-CO1,0.5843577,8.028361661808105e-205
S100A9,2.7732105,0.0,CEP55,9.167354,0.0,THBS1,3.495662,0.0,RPL9,0.50489515,0.0,ITGB1,0.83761024,0.0,IFIH1,5.277134,0.0,MTRNR2L12,1.0404233,1.3184630544375328e-202
CLDN4,4.2350664,0.0,TMPO,4.7093945,0.0,PRSS23,2.161062,0.0,RPS28,0.60149294,0.0,CLSTN1,1.4862292,0.0,OAS3,5.1357417,0.0,CDH3,0.9218769,8.548869269746723e-197
GCNT3,4.707954,0.0,ZWINT,6.122941,0.0,ACTG1,0.6235114,0.0,S100A10,0.6883375,0.0,BCAM,1.6527102,0.0,IFITM3,2.0802848,0.0,AHNAK,1.1037205,2.087571513894899e-194
ELF3,2.8644552,0.0,BIRC5,9.129703,0.0,FTH1,0.87866694,0.0,RPL6,0.42450917,0.0,WNT4,1.6956786,0.0,SP110,4.116346,0.0,MT-CO3,0.5059309,3.8407402124884487e-194
