0_n,0_l,0_p,1_n,1_l,1_p,2_n,2_l,2_p,3_n,3_l,3_p,4_n,4_l,4_p,5_n,5_l,5_p
LDLR,1.5733423,0.0,BPIFB1,2.3310978,0.0,FTH1,1.1986864,0.0,GLUL,0.91187596,0.0,RPS29,0.6705452,0.0,IFIT3,7.6683116,0.0
CCND1,1.3063201,0.0,PIGR,1.9604089,0.0,SLC7A5,5.3475986,0.0,KRT15,2.099727,0.0,WFDC2,1.3146304,0.0,ISG15,8.62014,0.0
IGFBP3,1.3231562,0.0,SLPI,1.4831599,0.0,SLC3A2,3.3060908,0.0,ALDH3A1,2.6797123,0.0,RPS20,0.6299199,0.0,IFIT1,9.2215185,0.0
RAB11FIP1,1.2984263,0.0,MSMB,4.242408,0.0,PSAT1,5.386538,0.0,TFCP2L1,2.1710024,1.0411631274430596e-273,RPL34,0.57585853,0.0,MX1,6.4759455,0.0
ALDH1A3,0.97391605,0.0,NUCB2,2.6927025,0.0,TAGLN2,2.0619192,0.0,MT-CYB,0.34417894,5.99824653385531e-246,TPT1,0.4883896,0.0,IFI6,5.5897193,0.0
C3,0.889461,0.0,MUC5B,3.987723,0.0,EIF1,0.80578685,0.0,ALCAM,0.53085715,2.141041622419766e-245,ATP5F1E,0.7267822,0.0,IFIT2,9.650576,0.0
KRT4,2.7940142,0.0,XBP1,1.1138502,0.0,VEGFA,3.5397122,0.0,MT-ND5,0.4568128,6.690283592949484e-242,RPS24,0.52599645,0.0,MX2,8.085739,0.0
GPRC5A,1.0961156,0.0,CD74,1.2554612,0.0,ASNS,4.879901,0.0,PIP,2.1120446,2.1185301787032146e-234,RPL21,0.60169035,0.0,IFIH1,6.240544,0.0
IL1R1,1.6656445,0.0,PLEKHS1,1.7180665,0.0,HIF1A,1.8465464,0.0,SCNN1A,0.56297946,1.5643700642384559e-217,RPS27,0.7582633,0.0,IFI44L,7.717633,0.0
B4GALT5,0.8242508,0.0,HLA-DRA,2.0077286,0.0,PMEPA1,3.8796563,0.0,MT-CO1,0.34126824,4.037357202761047e-217,SLPI,1.3428352,0.0,SAMD9,6.259639,0.0
TM4SF1,2.1046627,0.0,BPIFA1,2.7309089,0.0,EIF4EBP1,3.7137778,0.0,CCDC80,1.6982045,2.975700871129705e-213,RPS8,0.53083986,0.0,DDX58,7.2095113,0.0
