group1,group2,meandiff,p-adj,lower,upper,reject
BasalR_3,Basal_7,-992.0,0.8655,-2761.2737,777.2737,False
BasalR_3,Club_10,-1173.0,0.6319,-2942.2737,596.2737,False
BasalR_3,Club_11,-1410.5,0.2959,-3179.7737,358.7737,False
BasalR_3,Club_15,-2003.0,0.0117,-3772.2737,-233.7263,True
BasalR_3,Club_2,137.5,1.0,-1631.7737,1906.7737,False
BasalR_3,GobletClub_19,-2569.5,0.0002,-4338.7737,-800.2263,True
BasalR_3,Goblet_0,324.25,1.0,-1445.0237,2093.5237,False
BasalR_3,Goblet_14,-1889.75,0.0242,-3659.0237,-120.4763,True
BasalR_3,Goblet_16,-2012.5,0.0109,-3781.7737,-243.2263,True
BasalR_3,Goblet_4,-272.5,1.0,-2041.7737,1496.7737,False
BasalR_3,Goblet_8,-1131.5,0.6929,-2900.7737,637.7737,False
BasalR_3,Goblet_9,-1160.0,0.6513,-2929.2737,609.2737,False
BasalR_3,MultiC_12,-1745.5,0.0573,-3514.7737,23.7737,False
BasalR_3,MultiC_13,-1857.5,0.0295,-3626.7737,-88.2263,True
BasalR_3,MultiC_20,-2609.25,0.0001,-4378.5237,-839.9763,True
BasalR_3,Stromal_1,322.25,1.0,-1447.0237,2091.5237,False
BasalR_3,Stromal_17,-2061.75,0.0079,-3831.0237,-292.4763,True
BasalR_3,SupraB_18,-2161.25,0.004,-3930.5237,-391.9763,True
BasalR_3,SupraB_5,-837.25,0.9682,-2606.5237,932.0237,False
BasalR_3,SupraB_6,-977.5,0.8793,-2746.7737,791.7737,False
Basal_7,Club_10,-181.0,1.0,-1950.2737,1588.2737,False
Basal_7,Club_11,-418.5,1.0,-2187.7737,1350.7737,False
Basal_7,Club_15,-1011.0,0.8461,-2780.2737,758.2737,False
Basal_7,Club_2,1129.5,0.6958,-639.7737,2898.7737,False
Basal_7,GobletClub_19,-1577.5,0.1403,-3346.7737,191.7737,False
Basal_7,Goblet_0,1316.25,0.4186,-453.0237,3085.5237,False
Basal_7,Goblet_14,-897.75,0.9395,-2667.0237,871.5237,False
Basal_7,Goblet_16,-1020.5,0.8358,-2789.7737,748.7737,False
Basal_7,Goblet_4,719.5,0.9938,-1049.7737,2488.7737,False
Basal_7,Goblet_8,-139.5,1.0,-1908.7737,1629.7737,False
