,peak_id,gene_short_name
0,chr17_4583060_4583325,SMTNL2
1,chr17_4583036_4583307,SMTNL2
2,chr17_4583142_4583293,SMTNL2
3,chr17_4583133_4583351,SMTNL2
4,chr17_4583141_4583288,SMTNL2
5,chr10_96042267_96042446,CCNJ
6,chr1_161226066_161226198,MIR5187
7,chr13_41019551_41019929,ELF1
8,chr13_41019644_41020044,ELF1
9,chr13_41019535_41019939,ELF1
10,chr13_41019625_41019950,ELF1
11,chr13_41019644_41019929,ELF1
12,chr13_41019613_41020098,ELF1
13,chr3_20013099_20013795,PP2D1
14,chr3_20013088_20013667,PP2D1
15,chr3_20013098_20013913,PP2D1
16,chr3_20013110_20013844,PP2D1
17,chr3_20013201_20013911,PP2D1
18,chr5_14664236_14665062,OTULIN
19,chr5_14664042_14665164,OTULIN
20,chr5_14664076_14665350,OTULIN
21,chr5_14664013_14665448,OTULIN
22,chr5_14664447_14664965,OTULIN
23,chr5_14664420_14664982,OTULIN
24,chr5_14664402_14664977,OTULIN
25,chr5_14664365_14664977,OTULIN
26,chr5_14664365_14664977,OTULIN
27,chr5_14664372_14664850,OTULIN
28,chr5_14664335_14664982,OTULIN
29,chr5_14664335_14664982,OTULIN
30,chr5_14664118_14665080,OTULIN
31,chr5_14664118_14665080,OTULIN
32,chr5_14664118_14665080,OTULIN
33,chr5_14664392_14665080,OTULIN
34,chr5_14664118_14665082,OTULIN
35,chr5_14664118_14665082,OTULIN
36,chr5_14664042_14665121,OTULIN
37,chr5_14664042_14665121,OTULIN
38,chr5_14664042_14665121,OTULIN
39,chr3_36740844_36740998,DCLK3
40,chr8_144798514_144798761,ZNF517
41,chr8_144798415_144798941,ZNF517
42,chr8_144798341_144798563,ZNF517
43,chr8_144798331_144798588,ZNF517
44,chr8_144798410_144798583,ZNF517
45,chr5_23951423_23951985,C5orf17
46,chr5_23951407_23951904,C5orf17
47,chr19_18439272_18439714,ISYNA1
48,chr19_18439291_18439745,ISYNA1
49,chr19_18439274_18439662,ISYNA1
50,chr19_18439272_18439747,ISYNA1
51,chr19_18439272_18439743,ISYNA1
52,chr19_18439272_18439747,ISYNA1
53,chr19_18439272_18439723,ISYNA1
54,chr19_18439283_18439533,ISYNA1
55,chr19_18439274_18439756,ISYNA1
56,chr19_18439272_18439531,ISYNA1
57,chr19_18439272_18439747,ISYNA1
58,chr3_183886400_183886768,MIR4448
59,chr3_183886471_183886806,MIR4448
60,chr3_183886415_183886658,MIR4448
61,chr3_183886231_183886734,MIR4448
62,chr6_35512799_35513101,TULP1
63,chr6_35512847_35513078,TULP1
64,chr6_35512888_35513062,TULP1
65,chr6_35512905_35513139,TULP1
66,chr6_35512888_35513036,TULP1
67,chr6_35512895_35513146,TULP1
68,chr15_51738652_51738857,LYSMD2
69,chr15_51738375_51738726,LYSMD2
70,chr15_51738617_51738884,LYSMD2
71,chr15_51738378_51738869,LYSMD2
72,chr11_90556726_90557246,MIR4490
73,chr11_90556726_90557246,MIR4490
74,chr11_90556559_90557304,MIR4490
75,chr11_90556607_90557115,MIR4490
76,chr11_90556688_90557124,MIR4490
77,chr12_57940777_57941156,ATP23
78,chr12_57940904_57941150,ATP23
79,chr12_57940257_57941177,ATP23
80,chr12_57940257_57941177,ATP23
81,chr12_57940363_57941177,ATP23
82,chr12_57940363_57941177,ATP23
83,chr12_57940915_57941151,ATP23
84,chr12_57940921_57941156,ATP23
85,chr12_57940904_57941185,ATP23
86,chr12_57940868_57941143,ATP23
87,chr12_57940915_57941145,ATP23
88,chr12_57940921_57941143,ATP23
89,chr12_57940777_57941146,ATP23
90,chr12_57940885_57941143,ATP23
91,chr12_57940865_57941161,ATP23
92,chr5_140718245_140718780,VTRNA1-2
93,chr5_140718274_140718818,VTRNA1-2
94,chr18_24016253_24016655,TTC39C-AS1
95,chr18_24016375_24016602,TTC39C-AS1
96,chr18_24016246_24016674,TTC39C-AS1
97,chr18_24016232_24016602,TTC39C-AS1
98,chr18_24016246_24016564,TTC39C-AS1
99,chr18_24016161_24016384,TTC39C-AS1
100,chr18_24016262_24016425,TTC39C-AS1
101,chr18_24016209_24016431,TTC39C-AS1
102,chr5_122774677_122774872,SNX2
103,chr5_122774683_122774887,SNX2
104,chr5_122774627_122775010,SNX2
105,chr5_122774627_122774989,SNX2
106,chr5_122774685_122774882,SNX2
107,chr5_122774634_122774882,SNX2
108,chr5_122774596_122774994,SNX2
109,chr5_122774683_122774980,SNX2
110,chr5_122774602_122774897,SNX2
111,chr9_34957800_34958016,PHF24
112,chr9_34957758_34958401,PHF24
113,chr9_34957758_34958401,PHF24
114,chr9_34957873_34958332,PHF24
115,chr9_34957734_34958644,PHF24
116,chr9_35732037_35732727,TLN1
117,chr9_35732059_35732693,TLN1
118,chr9_35731928_35733445,TLN1
119,chr9_35731928_35733445,TLN1
120,chr9_35731967_35732917,TLN1
121,chr9_35731870_35732831,TLN1
